image,text
../../datasets/OldStyles/style6/A person has a stuffed bear on their wrist.jpg,A person has a stuffed bear on their wrist
"../../datasets/OldStyles/style6/A bathroom with a sink, a mirror and towels.jpg","A bathroom with a sink, a mirror and towels"
../../datasets/OldStyles/style6/A person on a snowboard catching some air over a hill.jpg,A person on a snowboard catching some air over a hill
../../datasets/OldStyles/style6/a large kitchen with fancy counters and white cabinets.jpg,a large kitchen with fancy counters and white cabinets
../../datasets/OldStyles/style6/A variety of vegetables and leafy greens sit on top of a counter.jpg,A variety of vegetables and leafy greens sit on top of a counter
../../datasets/OldStyles/style6/A very cute black dog laying with a disc.jpg,A very cute black dog laying with a disc
../../datasets/OldStyles/style6/This boy is having fun flying a frisbee.jpg,This boy is having fun flying a frisbee
../../datasets/OldStyles/style6/A person sitting on a horse on top of a grassy hill.jpg,A person sitting on a horse on top of a grassy hill
../../datasets/OldStyles/style6/Foods laid out buffet style on plates ontop of a heater.jpg,Foods laid out buffet style on plates ontop of a heater
../../datasets/OldStyles/style6/Three people in a kitchen with the counter cluttered.jpg,Three people in a kitchen with the counter cluttered
../../datasets/OldStyles/style6/A bus drives alongside a truck on a street.jpg,A bus drives alongside a truck on a street
../../datasets/OldStyles/style6/A pair of men with backpacks riding skis on a slope.jpg,A pair of men with backpacks riding skis on a slope
../../datasets/OldStyles/style6/a tennis player on a court swinging a racket.jpg,a tennis player on a court swinging a racket
../../datasets/OldStyles/style6/A tennis player wearing gray shorts and a white t-shirt holds his tennis racket.jpg,A tennis player wearing gray shorts and a white t-shirt holds his tennis racket
../../datasets/OldStyles/style6/A person snowboarding down a mountain on  a trail.jpg,A person snowboarding down a mountain on  a trail
../../datasets/OldStyles/style6/She is cutting the pizza with a special kind of cutter.jpg,She is cutting the pizza with a special kind of cutter
../../datasets/OldStyles/style6/Semi truck on roadway with cement divider in center.jpg,Semi truck on roadway with cement divider in center
../../datasets/OldStyles/style6/An elephant wears a birthday sign around its head.jpg,An elephant wears a birthday sign around its head
../../datasets/OldStyles/style6/Three people are riding on an elephant next to vegetation.jpg,Three people are riding on an elephant next to vegetation
../../datasets/OldStyles/style6/a cats tail that is laying on top of a keyboard.jpg,a cats tail that is laying on top of a keyboard
../../datasets/OldStyles/style6/A soccer player is at the ball in front of the crowd.jpg,A soccer player is at the ball in front of the crowd
../../datasets/OldStyles/style6/A kitchen is full of fruits and vegetables in a zoo.jpg,A kitchen is full of fruits and vegetables in a zoo
../../datasets/OldStyles/style6/A picture of a cat on the side of a refrigerator.jpg,A picture of a cat on the side of a refrigerator
../../datasets/OldStyles/style6/A group of zebras are grazing or standing on a plain.jpg,A group of zebras are grazing or standing on a plain
../../datasets/OldStyles/style6/A person throwing a frisbee near a tree.jpg,A person throwing a frisbee near a tree
../../datasets/OldStyles/style6/A wall of window stands near a brown couch and a wood coffee table and book shelves.jpg,A wall of window stands near a brown couch and a wood coffee table and book shelves
../../datasets/OldStyles/style6/People are by a fence watching horse riders.jpg,People are by a fence watching horse riders
../../datasets/OldStyles/style6/Some people gathered around a big table covered with fruit items.jpg,Some people gathered around a big table covered with fruit items
../../datasets/OldStyles/style6/A black and white dog holding a pink frisbee.jpg,A black and white dog holding a pink frisbee
"../../datasets/OldStyles/style6/A small kitchen with sink, dishwasher and stove.jpg","A small kitchen with sink, dishwasher and stove"
../../datasets/OldStyles/style6/A baseball player standing on a base in the infield.jpg,A baseball player standing on a base in the infield
../../datasets/OldStyles/style6/A woman sitting on a bench next to a giant teddy bear.jpg,A woman sitting on a bench next to a giant teddy bear
../../datasets/OldStyles/style6/A woman is standing outside near a line of pink motorcycles.jpg,A woman is standing outside near a line of pink motorcycles
../../datasets/OldStyles/style6/A silver horse statue is on a table.jpg,A silver horse statue is on a table
../../datasets/OldStyles/style6/A woman sitting in a chair surrounded by grass.jpg,A woman sitting in a chair surrounded by grass
../../datasets/OldStyles/style6/A young man doing a trick on a skateboard.jpg,A young man doing a trick on a skateboard
../../datasets/OldStyles/style6/Inside of a living room with a glass table and sofa.jpg,Inside of a living room with a glass table and sofa
../../datasets/OldStyles/style6/A white toilet sitting in a bathroom next to a urinal.jpg,A white toilet sitting in a bathroom next to a urinal
../../datasets/OldStyles/style6/a street sign with glow in the dark letters.jpg,a street sign with glow in the dark letters
../../datasets/OldStyles/style6/A man riding a bike while popping a wheelie.jpg,A man riding a bike while popping a wheelie
../../datasets/OldStyles/style6/A person is sitting in a chair next to a microwave and cups.jpg,A person is sitting in a chair next to a microwave and cups
../../datasets/OldStyles/style6/A fireplace has many ornate paintings and carvings.jpg,A fireplace has many ornate paintings and carvings
../../datasets/OldStyles/style6/A man walks past a red fire hydrant on the sidewalk.jpg,A man walks past a red fire hydrant on the sidewalk
../../datasets/OldStyles/style6/A dirty toilet visible through an open door.jpg,A dirty toilet visible through an open door
../../datasets/OldStyles/style6/Three giraffes behind an ostrich inside an enclosure.jpg,Three giraffes behind an ostrich inside an enclosure
../../datasets/OldStyles/style6/A semi truck is parked in front of a block of row houses.jpg,A semi truck is parked in front of a block of row houses
../../datasets/OldStyles/style6/A train on an overpass over a parking lot.jpg,A train on an overpass over a parking lot
"../../datasets/OldStyles/style6/A man in very torn, dirty clothing is walking down a city street in front of a well dressed woman.jpg","A man in very torn, dirty clothing is walking down a city street in front of a well dressed woman"
../../datasets/OldStyles/style6/I am unable to see an image above.jpg,I am unable to see an image above
../../datasets/OldStyles/style6/a bathroom with a toilet sits next to a bath tub.jpg,a bathroom with a toilet sits next to a bath tub
../../datasets/OldStyles/style6/A man in a coat with gloves is sitting on a bench on a cold day.jpg,A man in a coat with gloves is sitting on a bench on a cold day
../../datasets/OldStyles/style6/A man sitting at a table holding a cell phone.jpg,A man sitting at a table holding a cell phone
../../datasets/OldStyles/style6/A woman checking on an item she is baking in an oven.jpg,A woman checking on an item she is baking in an oven
../../datasets/OldStyles/style6/There is a man playing in a game of tennis.jpg,There is a man playing in a game of tennis
../../datasets/OldStyles/style6/a pizza with a lot of sauce and a little cheese.jpg,a pizza with a lot of sauce and a little cheese
../../datasets/OldStyles/style6/A newswoman and a man talk about a mountain lion attack.jpg,A newswoman and a man talk about a mountain lion attack
../../datasets/OldStyles/style6/A man playing baseball is taking a swing with the bat.jpg,A man playing baseball is taking a swing with the bat
../../datasets/OldStyles/style6/A plate with half meat and half carrots.jpg,A plate with half meat and half carrots
../../datasets/OldStyles/style6/A BOY IS SITTING AT TH TABLE WITH A PERSON.jpg,A BOY IS SITTING AT TH TABLE WITH A PERSON
../../datasets/OldStyles/style6/A man is working on a blue surfboard.jpg,A man is working on a blue surfboard
../../datasets/OldStyles/style6/A small tiled modern bathroom with walk-in shower.jpg,A small tiled modern bathroom with walk-in shower
../../datasets/OldStyles/style6/a rider on a motorcycle gives a thumbs up as he drives on a street.jpg,a rider on a motorcycle gives a thumbs up as he drives on a street
../../datasets/OldStyles/style6/a person that is standing in a kitchen.jpg,a person that is standing in a kitchen
../../datasets/OldStyles/style6/A man and woman sheering a sheep next to a barn.jpg,A man and woman sheering a sheep next to a barn
../../datasets/OldStyles/style6/A black bear with its mouth open standing in its enclosure.jpg,A black bear with its mouth open standing in its enclosure
../../datasets/OldStyles/style6/A wake boarder is flying mid-air over the ocean.jpg,A wake boarder is flying mid-air over the ocean
../../datasets/OldStyles/style6/there are many cows that can be seen on the farm.jpg,there are many cows that can be seen on the farm
../../datasets/OldStyles/style6/A person breaks one of the donuts in half from a box of assorted donuts.jpg,A person breaks one of the donuts in half from a box of assorted donuts
../../datasets/OldStyles/style6/A woman in a defensive pose on a tennis court.jpg,A woman in a defensive pose on a tennis court
../../datasets/OldStyles/style6/A stuffed bear sitting outside on a box.jpg,A stuffed bear sitting outside on a box
../../datasets/OldStyles/style6/The public restroom needs to be clean.jpg,The public restroom needs to be clean
../../datasets/OldStyles/style6/a laptop is sitting on a wooden table.jpg,a laptop is sitting on a wooden table
../../datasets/OldStyles/style6/a person swinging a tennis racket hitting a tennis ball.jpg,a person swinging a tennis racket hitting a tennis ball
../../datasets/OldStyles/style6/A little girl holding a green umbrella next to a potted flower.jpg,A little girl holding a green umbrella next to a potted flower
"../../datasets/OldStyles/style6/Flowers are in vases, one is made of balloons.jpg","Flowers are in vases, one is made of balloons"
../../datasets/OldStyles/style6/A surfer falls off his board as another rides the wave.jpg,A surfer falls off his board as another rides the wave
../../datasets/OldStyles/style6/People in wet suits with equipment on a beach organized for a competition.jpg,People in wet suits with equipment on a beach organized for a competition
../../datasets/OldStyles/style6/Two Zebra eating grass in a wide open field.jpg,Two Zebra eating grass in a wide open field
../../datasets/OldStyles/style6/Colorful flowers displayed in very beautiful vases in front brick wall.jpg,Colorful flowers displayed in very beautiful vases in front brick wall
../../datasets/OldStyles/style6/Two people dressed nicely sitting on a sandy beach.jpg,Two people dressed nicely sitting on a sandy beach
../../datasets/OldStyles/style6/A plane taking off on a runway during the day.jpg,A plane taking off on a runway during the day
../../datasets/OldStyles/style6/a buss is parked at a bus station.jpg,a buss is parked at a bus station
../../datasets/OldStyles/style6/A CHILD IS PLAYING BASE BALL ON THE FIELD.jpg,A CHILD IS PLAYING BASE BALL ON THE FIELD
../../datasets/OldStyles/style6/A bathroom sink with a mirror reflection of the shower and hung towels.jpg,A bathroom sink with a mirror reflection of the shower and hung towels
../../datasets/OldStyles/style6/A dog sitting on top of another dog.jpg,A dog sitting on top of another dog
../../datasets/OldStyles/style6/A woman riding a skateboard on the sidewalk.jpg,A woman riding a skateboard on the sidewalk
../../datasets/OldStyles/style6/A scarecrow is in the garden with no head.jpg,A scarecrow is in the garden with no head
../../datasets/OldStyles/style6/A green traffic light with a Burwell Street sign on it.jpg,A green traffic light with a Burwell Street sign on it
../../datasets/OldStyles/style6/a mirror a sink shower curtains lights and white tiles.jpg,a mirror a sink shower curtains lights and white tiles
"../../datasets/OldStyles/style6/Living room that has furniture, electronics, and other accessories.jpg","Living room that has furniture, electronics, and other accessories"
../../datasets/OldStyles/style6/A sunset in the background of a picture of a plane.jpg,A sunset in the background of a picture of a plane
../../datasets/OldStyles/style6/A young girl holds a tennis racket and raises her arm.jpg,A young girl holds a tennis racket and raises her arm
../../datasets/OldStyles/style6/A person is holding a banana in their hand.jpg,A person is holding a banana in their hand
../../datasets/OldStyles/style6/A small red bicycle sits on a hardwood floor.jpg,A small red bicycle sits on a hardwood floor
../../datasets/OldStyles/style6/A family riding horses on the beach on a cool day.jpg,A family riding horses on the beach on a cool day
../../datasets/OldStyles/style6/There is no image on this page to describe.jpg,There is no image on this page to describe
../../datasets/OldStyles/style6/Snowboarders hanging out at the bottom of a snowy mountain.jpg,Snowboarders hanging out at the bottom of a snowy mountain
../../datasets/OldStyles/style6/Two cats laying on a couch with multi colors.jpg,Two cats laying on a couch with multi colors
../../datasets/OldStyles/style6/A person climbing a mountain holding their skiing equipment.jpg,A person climbing a mountain holding their skiing equipment
../../datasets/OldStyles/style6/A child lays over the top of a skateboard.jpg,A child lays over the top of a skateboard
../../datasets/OldStyles/style6/A group of women holding umbrellas near a cactus field.jpg,A group of women holding umbrellas near a cactus field
../../datasets/OldStyles/style6/A double exposed photo of a person standing with an umbrella.jpg,A double exposed photo of a person standing with an umbrella
../../datasets/OldStyles/style6/A girl sitting in a chair while she's on her phone.jpg,A girl sitting in a chair while she's on her phone
../../datasets/OldStyles/style6/A pizza slice that is on a plate.jpg,A pizza slice that is on a plate
../../datasets/OldStyles/style6/A sleeping black cat sitting on a pizza box.jpg,A sleeping black cat sitting on a pizza box
../../datasets/OldStyles/style6/A motorcycle that is sitting near a helicopter.jpg,A motorcycle that is sitting near a helicopter
../../datasets/OldStyles/style6/the little girl looks at the bananas on the table.jpg,the little girl looks at the bananas on the table
../../datasets/OldStyles/style6/A guy in a striped shirt is in the bottom bunk bed.jpg,A guy in a striped shirt is in the bottom bunk bed
../../datasets/OldStyles/style6/Big Ben stands tall above crowds of people and traffic.jpg,Big Ben stands tall above crowds of people and traffic
../../datasets/OldStyles/style6/A computer monitor sits in the grass on the side of a road.jpg,A computer monitor sits in the grass on the side of a road
../../datasets/OldStyles/style6/a boy does a trick on his skateboard over another boy.jpg,a boy does a trick on his skateboard over another boy
../../datasets/OldStyles/style6/A herd of elephants with one young calf.jpg,A herd of elephants with one young calf
../../datasets/OldStyles/style6/A wire hanging basket containing some banana and a block doll.jpg,A wire hanging basket containing some banana and a block doll
../../datasets/OldStyles/style6/A woman with a small child in yellow on skis.jpg,A woman with a small child in yellow on skis
../../datasets/OldStyles/style6/some people sitting at long tables with some laptops.jpg,some people sitting at long tables with some laptops
../../datasets/OldStyles/style6/A woman pulling a suitcase behind her on the sidewalk.jpg,A woman pulling a suitcase behind her on the sidewalk
../../datasets/OldStyles/style6/A desktop computer monitor on top of a desk next to a keyboard.jpg,A desktop computer monitor on top of a desk next to a keyboard
../../datasets/OldStyles/style6/A man sitting on a bench near his bike.jpg,A man sitting on a bench near his bike
../../datasets/OldStyles/style6/Two giraffes rubbing the head of a baby giraffe.jpg,Two giraffes rubbing the head of a baby giraffe
../../datasets/OldStyles/style6/THERE IS A CAR THAT IS PARKED ON THE STREET.jpg,THERE IS A CAR THAT IS PARKED ON THE STREET
../../datasets/OldStyles/style6/Three elephants walking near a log by some hedges.jpg,Three elephants walking near a log by some hedges
../../datasets/OldStyles/style6/A large black cat laying on top of a book.jpg,A large black cat laying on top of a book
../../datasets/OldStyles/style6/a truck with a camper sits parked in some vegetation.jpg,a truck with a camper sits parked in some vegetation
../../datasets/OldStyles/style6/A woman standing next to a zebra on a leash.jpg,A woman standing next to a zebra on a leash
../../datasets/OldStyles/style6/A vase holding a handful of pink and yellow flowers.jpg,A vase holding a handful of pink and yellow flowers
../../datasets/OldStyles/style6/A jockey rides a horse towards a jump obstacle.jpg,A jockey rides a horse towards a jump obstacle
../../datasets/OldStyles/style6/A very nice looking motorcycle parked in a lot by a car.jpg,A very nice looking motorcycle parked in a lot by a car
../../datasets/OldStyles/style6/Two men stand holding glasses in front of a TV playing a football game.jpg,Two men stand holding glasses in front of a TV playing a football game
../../datasets/OldStyles/style6/A herd of elephants in the river with people watching over them.jpg,A herd of elephants in the river with people watching over them
../../datasets/OldStyles/style6/A traveler with a luggage cart at a ticket counter.jpg,A traveler with a luggage cart at a ticket counter
../../datasets/OldStyles/style6/A magazine with a picture of a woman riding a long surfboard.jpg,A magazine with a picture of a woman riding a long surfboard
../../datasets/OldStyles/style6/a close up of a toilet attacted to a wall.jpg,a close up of a toilet attacted to a wall
../../datasets/OldStyles/style6/A young man is aiming a video game remote at a large television.jpg,A young man is aiming a video game remote at a large television
../../datasets/OldStyles/style6/The boy is standing with two remotes in his hands.jpg,The boy is standing with two remotes in his hands
"../../datasets/OldStyles/style6/A train on tracks passes by a station, with trees on the other side.jpg","A train on tracks passes by a station, with trees on the other side"
../../datasets/OldStyles/style6/Two sheep resting near a fence in a field.jpg,Two sheep resting near a fence in a field
../../datasets/OldStyles/style6/A traffic sign next to a street sign at a cross walk.jpg,A traffic sign next to a street sign at a cross walk
../../datasets/OldStyles/style6/Commuter train track platform amongst various buildings set close together.jpg,Commuter train track platform amongst various buildings set close together
../../datasets/OldStyles/style6/Several people teach a child how to surf.jpg,Several people teach a child how to surf
../../datasets/OldStyles/style6/A man standing behind a truck with logs near a forest.jpg,A man standing behind a truck with logs near a forest
../../datasets/OldStyles/style6/A red train is traveling under a blue overpass.jpg,A red train is traveling under a blue overpass
../../datasets/OldStyles/style6/A baseball player for the Angels holding a bat and wearing a helmet.jpg,A baseball player for the Angels holding a bat and wearing a helmet
../../datasets/OldStyles/style6/Street signs are placed next to a white hotel.jpg,Street signs are placed next to a white hotel
../../datasets/OldStyles/style6/A bed with white linen in a bedroom with one light on.jpg,A bed with white linen in a bedroom with one light on
../../datasets/OldStyles/style6/Man on surfboard balancing while riding white topped wave.jpg,Man on surfboard balancing while riding white topped wave
../../datasets/OldStyles/style6/A dog runs and jumps in the snow.jpg,A dog runs and jumps in the snow
../../datasets/OldStyles/style6/a pan with some type of light brown food item.jpg,a pan with some type of light brown food item
../../datasets/OldStyles/style6/A person looking down at their cell phone.jpg,A person looking down at their cell phone
../../datasets/OldStyles/style6/A few boats sitting on top of a river next to a forest.jpg,A few boats sitting on top of a river next to a forest
../../datasets/OldStyles/style6/A dummy with a blue suit and blue striped tie.jpg,A dummy with a blue suit and blue striped tie
../../datasets/OldStyles/style6/The two ladies is outside  talking in the rain.jpg,The two ladies is outside  talking in the rain
../../datasets/OldStyles/style6/A salami sandwich with tomatoes and peppers laying on a white plate.jpg,A salami sandwich with tomatoes and peppers laying on a white plate
../../datasets/OldStyles/style6/a man is blowing into a plastic ball.jpg,a man is blowing into a plastic ball
../../datasets/OldStyles/style6/Motorcyclers in a race leaning into a turn on the track.jpg,Motorcyclers in a race leaning into a turn on the track
../../datasets/OldStyles/style6/A dog holding a dirty frisbee in a field.jpg,A dog holding a dirty frisbee in a field
../../datasets/OldStyles/style6/Colorful vases are on display on a ledge.jpg,Colorful vases are on display on a ledge
../../datasets/OldStyles/style6/A large gathering of elderly people are sitting in a restaurant while one woman stands and addresses the crowd.jpg,A large gathering of elderly people are sitting in a restaurant while one woman stands and addresses the crowd
../../datasets/OldStyles/style6/Two laptop computers side by side on a desk.jpg,Two laptop computers side by side on a desk
../../datasets/OldStyles/style6/A little brown teddy bear hands from a door for somebody to take it.jpg,A little brown teddy bear hands from a door for somebody to take it
../../datasets/OldStyles/style6/Player at home plate ducking from being hit by ball.jpg,Player at home plate ducking from being hit by ball
../../datasets/OldStyles/style6/a troll doll sitting on top of a clock next to a railroad crossing light.jpg,a troll doll sitting on top of a clock next to a railroad crossing light
"../../datasets/OldStyles/style6/Two kids playing baseball, one throwing a ball.jpg","Two kids playing baseball, one throwing a ball"
../../datasets/OldStyles/style6/a cat sitting on the back of a desk while looking out a window.jpg,a cat sitting on the back of a desk while looking out a window
../../datasets/OldStyles/style6/a close up of a person sitting on the ground with a nintendo wii remote.jpg,a close up of a person sitting on the ground with a nintendo wii remote
../../datasets/OldStyles/style6/there is a man and a small boy riding a bike.jpg,there is a man and a small boy riding a bike
../../datasets/OldStyles/style6/A person standing in a bathroom with a cat.jpg,A person standing in a bathroom with a cat
../../datasets/OldStyles/style6/An old photo of a line of people riding horses or donkeys pulling carts down the town street.jpg,An old photo of a line of people riding horses or donkeys pulling carts down the town street
../../datasets/OldStyles/style6/Man in a white outfit on a tennis court holding a racket.jpg,Man in a white outfit on a tennis court holding a racket
../../datasets/OldStyles/style6/a close up of a person wearing a suit and tie.jpg,a close up of a person wearing a suit and tie
../../datasets/OldStyles/style6/A lamb looking at bars in a cage with grass.jpg,A lamb looking at bars in a cage with grass
../../datasets/OldStyles/style6/A black and grey cat laying on a plugged in hard drive.jpg,A black and grey cat laying on a plugged in hard drive
../../datasets/OldStyles/style6/A green and white van full of signs written in spanish.jpg,A green and white van full of signs written in spanish
../../datasets/OldStyles/style6/a girl is holding a red umbrella above her.jpg,a girl is holding a red umbrella above her
../../datasets/OldStyles/style6/A zebra walks across a field with other animals in the background.jpg,A zebra walks across a field with other animals in the background
../../datasets/OldStyles/style6/A group of boys on a staircase holding a blue flag.jpg,A group of boys on a staircase holding a blue flag
../../datasets/OldStyles/style6/an image of a dog wearing a scarf on his neck.jpg,an image of a dog wearing a scarf on his neck
../../datasets/OldStyles/style6/A large building has a white clock at the center.jpg,A large building has a white clock at the center
../../datasets/OldStyles/style6/A red train car on display at a museum.jpg,A red train car on display at a museum
../../datasets/OldStyles/style6/A picture of a red and white train in the snow on the tracks.jpg,A picture of a red and white train in the snow on the tracks
../../datasets/OldStyles/style6/A man swings his bat as he runs while a hand reaches to catch the ball behind him.jpg,A man swings his bat as he runs while a hand reaches to catch the ball behind him
../../datasets/OldStyles/style6/A long colorful train traveling down train tracks.jpg,A long colorful train traveling down train tracks
../../datasets/OldStyles/style6/A bear sitting a desk with a computer.jpg,A bear sitting a desk with a computer
../../datasets/OldStyles/style6/A fire hose wound up and sitting in a bin against a wall.jpg,A fire hose wound up and sitting in a bin against a wall
../../datasets/OldStyles/style6/Two women smiling for a picture while on the ski slope.jpg,Two women smiling for a picture while on the ski slope
../../datasets/OldStyles/style6/Three large birds sits atop a wooden railing.jpg,Three large birds sits atop a wooden railing
../../datasets/OldStyles/style6/A man standing next to a woman in a kitchen preparing food.jpg,A man standing next to a woman in a kitchen preparing food
../../datasets/OldStyles/style6/a small pizza is sitting on a table.jpg,a small pizza is sitting on a table
../../datasets/OldStyles/style6/A giraffe uses it's long neck to search for food.jpg,A giraffe uses it's long neck to search for food
../../datasets/OldStyles/style6/Several men in clean baseball uniforms are talking.jpg,Several men in clean baseball uniforms are talking
../../datasets/OldStyles/style6/A white surfboard in the back of a truck covered in sand.jpg,A white surfboard in the back of a truck covered in sand
../../datasets/OldStyles/style6/a person that is skateboarding down a rail.jpg,a person that is skateboarding down a rail
../../datasets/OldStyles/style6/A man on a surfboard being pulled into the air by a sail.jpg,A man on a surfboard being pulled into the air by a sail
../../datasets/OldStyles/style6/A person sitting on a bench under a overpass.jpg,A person sitting on a bench under a overpass
"../../datasets/OldStyles/style6/A toilet, sink, shower and mirror in a bathroom.jpg","A toilet, sink, shower and mirror in a bathroom"
../../datasets/OldStyles/style6/A black cat wearing a bright red license tag.jpg,A black cat wearing a bright red license tag
../../datasets/OldStyles/style6/A wooden bench next to flowering bushes and plants.jpg,A wooden bench next to flowering bushes and plants
../../datasets/OldStyles/style6/A giraffe is walking alone through the field.jpg,A giraffe is walking alone through the field
../../datasets/OldStyles/style6/A girl looks up at a guy in a backwards hat.jpg,A girl looks up at a guy in a backwards hat
../../datasets/OldStyles/style6/Man skateboarding with protective gear and orange cones.jpg,Man skateboarding with protective gear and orange cones
../../datasets/OldStyles/style6/A table with a cate fashioned to look like a desk and laptop.jpg,A table with a cate fashioned to look like a desk and laptop
../../datasets/OldStyles/style6/five professional motorcyclist racing on a race track.jpg,five professional motorcyclist racing on a race track
../../datasets/OldStyles/style6/some brown black and white horse in their pen eating grass.jpg,some brown black and white horse in their pen eating grass
../../datasets/OldStyles/style6/A number of children and adults gathered near a mini train ride.jpg,A number of children and adults gathered near a mini train ride
../../datasets/OldStyles/style6/A bus driving down a street next to a  tall building.jpg,A bus driving down a street next to a  tall building
../../datasets/OldStyles/style6/A man puts his hand above a grill covered with hot dogs.jpg,A man puts his hand above a grill covered with hot dogs
../../datasets/OldStyles/style6/An older lady and a young girl sitting at a table at the park.jpg,An older lady and a young girl sitting at a table at the park
../../datasets/OldStyles/style6/A bathroom mirror shows a person taking a picture of a large bathroom.jpg,A bathroom mirror shows a person taking a picture of a large bathroom
../../datasets/OldStyles/style6/Four dogs trying to eat out of the same bow of food.jpg,Four dogs trying to eat out of the same bow of food
"../../datasets/OldStyles/style6/Three surfers at bottom a wave, two looking for their boards.jpg","Three surfers at bottom a wave, two looking for their boards"
../../datasets/OldStyles/style6/three giraffes standing near a skinny tree at the zoo.jpg,three giraffes standing near a skinny tree at the zoo
../../datasets/OldStyles/style6/A man decorated with souvenirs surfing in the ocean.jpg,A man decorated with souvenirs surfing in the ocean
../../datasets/OldStyles/style6/A baseball player holding a bat near home plate.jpg,A baseball player holding a bat near home plate
../../datasets/OldStyles/style6/A clock on a pole in front of a building.jpg,A clock on a pole in front of a building
../../datasets/OldStyles/style6/Black cow standing on a hill with grass on it.jpg,Black cow standing on a hill with grass on it
../../datasets/OldStyles/style6/A woman in burlesque clothing holding an umbrella.jpg,A woman in burlesque clothing holding an umbrella
../../datasets/OldStyles/style6/A couple of horses standing in a grass field.jpg,A couple of horses standing in a grass field
../../datasets/OldStyles/style6/a bed that has some animals on it.jpg,a bed that has some animals on it
../../datasets/OldStyles/style6/a yellow fire hydrant some leaves bushes and trees.jpg,a yellow fire hydrant some leaves bushes and trees
../../datasets/OldStyles/style6/A white car with a clock on its roof on street.jpg,A white car with a clock on its roof on street
"../../datasets/OldStyles/style6/A man skiing down a hill in the open, with his arms out.jpg","A man skiing down a hill in the open, with his arms out"
../../datasets/OldStyles/style6/Oversized pillows and a decorative pillow top a bed adorned a large wooden headboard.jpg,Oversized pillows and a decorative pillow top a bed adorned a large wooden headboard
../../datasets/OldStyles/style6/A giraffe stands in  a zoo enclosure next to a building.jpg,A giraffe stands in  a zoo enclosure next to a building
../../datasets/OldStyles/style6/shelves on a wall full of teddy bears.jpg,shelves on a wall full of teddy bears
"../../datasets/OldStyles/style6/This is home plate during a pro baseball game at the moment that umpire, catcher and batter are focused  on the incoming pitch.jpg","This is home plate during a pro baseball game at the moment that umpire, catcher and batter are focused  on the incoming pitch"
../../datasets/OldStyles/style6/a store sitting on a dock near the water.jpg,a store sitting on a dock near the water
../../datasets/OldStyles/style6/A semi wooded park setting with benches for sitting.jpg,A semi wooded park setting with benches for sitting
../../datasets/OldStyles/style6/A stuffed bear sitting in a truck with a Yankee Candle logo.jpg,A stuffed bear sitting in a truck with a Yankee Candle logo
../../datasets/OldStyles/style6/A street filled with metal street signs and store signs.jpg,A street filled with metal street signs and store signs
../../datasets/OldStyles/style6/this is a man riding a bike at a skate park.jpg,this is a man riding a bike at a skate park
../../datasets/OldStyles/style6/The two slices of pizza each have different shapes and toppings.jpg,The two slices of pizza each have different shapes and toppings
../../datasets/OldStyles/style6/Fruits and vegetables are displayed on a kitchen countertop.jpg,Fruits and vegetables are displayed on a kitchen countertop
../../datasets/OldStyles/style6/A living room filled with furniture and a large window.jpg,A living room filled with furniture and a large window
../../datasets/OldStyles/style6/A man doing tricks on a skateboard on the street.jpg,A man doing tricks on a skateboard on the street
../../datasets/OldStyles/style6/a couple of vases are sitting by a curb.jpg,a couple of vases are sitting by a curb
