image,text
../../datasets/Styles/style0/A very tall building towering over a street sign at night.jpg,A very tall building towering over a street sign at night
../../datasets/Styles/style0/A yellow airplane next to a bulletin board with pilots ID's attached.jpg,A yellow airplane next to a bulletin board with pilots ID's attached
../../datasets/Styles/style0/Four glazed doughnuts and one chocolate sit in a box.jpg,Four glazed doughnuts and one chocolate sit in a box
../../datasets/Styles/style0/a queen size bed in a small room with a slanted ceiling and a wooden desk.jpg,a queen size bed in a small room with a slanted ceiling and a wooden desk
../../datasets/Styles/style0/Two large parachute kites flying in the wind at a beach.jpg,Two large parachute kites flying in the wind at a beach
../../datasets/Styles/style0/The light is on over the sink in the bathroom.jpg,The light is on over the sink in the bathroom
../../datasets/Styles/style0/A big empty beach with a bunch of surf boards.jpg,A big empty beach with a bunch of surf boards
../../datasets/Styles/style0/A large white boat in a city port.jpg,A large white boat in a city port
../../datasets/Styles/style0/A man standing in front of an old train.jpg,A man standing in front of an old train
../../datasets/Styles/style0/A Siamese cat sitting in front of a mirror.jpg,A Siamese cat sitting in front of a mirror
"../../datasets/Styles/style0/People standing, walking and browsing at an outdoor flea market in the middle of a town.jpg","People standing, walking and browsing at an outdoor flea market in the middle of a town"
../../datasets/Styles/style0/a black cat pokes its head out of a backpack.jpg,a black cat pokes its head out of a backpack
../../datasets/Styles/style0/The frowning man is standing beside a stop sign.jpg,The frowning man is standing beside a stop sign
../../datasets/Styles/style0/A man holding a surfboard on top of water.jpg,A man holding a surfboard on top of water
../../datasets/Styles/style0/A woman smiles while petting an adult horse.jpg,A woman smiles while petting an adult horse
"../../datasets/Styles/style0/A plate of eggs, hash browns, toast and sausage.jpg","A plate of eggs, hash browns, toast and sausage"
../../datasets/Styles/style0/An older man standing on a rub in a kitchen wearing a tie.jpg,An older man standing on a rub in a kitchen wearing a tie
../../datasets/Styles/style0/a black dog with its mouth open outside the house.jpg,a black dog with its mouth open outside the house
../../datasets/Styles/style0/A very oddly decorated small rest room with a picture.jpg,A very oddly decorated small rest room with a picture
../../datasets/Styles/style0/this is a picture of a small group of guys playing frisbe.jpg,this is a picture of a small group of guys playing frisbe
../../datasets/Styles/style0/A kitchen with a chrome counter in the middle of the room.jpg,A kitchen with a chrome counter in the middle of the room
../../datasets/Styles/style0/Large piece of signage lies on ground in front of men and woman.jpg,Large piece of signage lies on ground in front of men and woman
../../datasets/Styles/style0/a group of people are working inside of a kitchen.jpg,a group of people are working inside of a kitchen
../../datasets/Styles/style0/A person swings a baseball bat in a field at night.jpg,A person swings a baseball bat in a field at night
../../datasets/Styles/style0/A man riding on top of a white surfboard in the ocean.jpg,A man riding on top of a white surfboard in the ocean
../../datasets/Styles/style0/A group of life guards pose for a picture.jpg,A group of life guards pose for a picture
../../datasets/Styles/style0/A small bird is sitting on cement near a fountain.jpg,A small bird is sitting on cement near a fountain
../../datasets/Styles/style0/a picture of a box full of dunkin donuts.jpg,a picture of a box full of dunkin donuts
../../datasets/Styles/style0/A man performing a skateboard trick at a skate park.jpg,A man performing a skateboard trick at a skate park
../../datasets/Styles/style0/a number of cows in a field with a mountain in the background.jpg,a number of cows in a field with a mountain in the background
../../datasets/Styles/style0/A boy tennis player running after a tennis ball.jpg,A boy tennis player running after a tennis ball
../../datasets/Styles/style0/A close up of a pizza with some pepperoni.jpg,A close up of a pizza with some pepperoni
../../datasets/Styles/style0/A large clock with golden yellow digits on a wall.jpg,A large clock with golden yellow digits on a wall
../../datasets/Styles/style0/A shirtless man pushes off on his longboard on a city street.jpg,A shirtless man pushes off on his longboard on a city street
../../datasets/Styles/style0/The little girl is sucking her thumb with food in the other hand.jpg,The little girl is sucking her thumb with food in the other hand
../../datasets/Styles/style0/An open kitchen with cake and ice cream on the counter.jpg,An open kitchen with cake and ice cream on the counter
../../datasets/Styles/style0/A group of skiers heading down a mountain with lots of small hills.jpg,A group of skiers heading down a mountain with lots of small hills
../../datasets/Styles/style0/A man in a white sweater wearing a hat holds a brown dog while sitting on a sofa.jpg,A man in a white sweater wearing a hat holds a brown dog while sitting on a sofa
../../datasets/Styles/style0/Two zebras standing among foliage at a zoo.jpg,Two zebras standing among foliage at a zoo
../../datasets/Styles/style0/a person riding a surf board with a parachute.jpg,a person riding a surf board with a parachute
../../datasets/Styles/style0/The long kite appears to be a green caterpillar.jpg,The long kite appears to be a green caterpillar
../../datasets/Styles/style0/A man in a wheelchair shakes the hand of a boy in an orange cap with a skateboard at his feet.jpg,A man in a wheelchair shakes the hand of a boy in an orange cap with a skateboard at his feet
../../datasets/Styles/style0/A room of olden days with a fireplace with wood and and candlestand.jpg,A room of olden days with a fireplace with wood and and candlestand
../../datasets/Styles/style0/very woolly sheep lying on the dry ground.jpg,very woolly sheep lying on the dry ground
../../datasets/Styles/style0/Someone is riding a horse on the beach next to the volleyball players.jpg,Someone is riding a horse on the beach next to the volleyball players
../../datasets/Styles/style0/A tree and some benches overlook the beach.jpg,A tree and some benches overlook the beach
../../datasets/Styles/style0/a bathroom with pink tiled walls and a little mirror.jpg,a bathroom with pink tiled walls and a little mirror
"../../datasets/Styles/style0/Giraffes in small enclosures, looking sad and alone.jpg","Giraffes in small enclosures, looking sad and alone"
../../datasets/Styles/style0/a pair of reading glasses sitting on a mirror tray.jpg,a pair of reading glasses sitting on a mirror tray
../../datasets/Styles/style0/The man is riding a horse on the street.jpg,The man is riding a horse on the street
../../datasets/Styles/style0/a kid is looking at a zebra out of a vehicle.jpg,a kid is looking at a zebra out of a vehicle
../../datasets/Styles/style0/A man wearing a black hat and a vest.jpg,A man wearing a black hat and a vest
../../datasets/Styles/style0/A person in the air skiing on a snow capped mountain.jpg,A person in the air skiing on a snow capped mountain
../../datasets/Styles/style0/Black and white photograph of a shrink wrapped fish with luggage.jpg,Black and white photograph of a shrink wrapped fish with luggage
../../datasets/Styles/style0/Two cats one black and white and one brown and white.jpg,Two cats one black and white and one brown and white
../../datasets/Styles/style0/A man is eating at a dessert at a restaurant.jpg,A man is eating at a dessert at a restaurant
../../datasets/Styles/style0/a collage of photos with a plate of food.jpg,a collage of photos with a plate of food
../../datasets/Styles/style0/A person is holding a banana in their hand.jpg,A person is holding a banana in their hand
../../datasets/Styles/style0/a man wearong a gray hat and white shirt  standing next to two women talking while four men move a couch into a truch.jpg,a man wearong a gray hat and white shirt  standing next to two women talking while four men move a couch into a truch
"../../datasets/Styles/style0/A wide view of an unoccupied house, kitchen in the foreground.jpg","A wide view of an unoccupied house, kitchen in the foreground"
../../datasets/Styles/style0/LITTLE BOY WITH A HUGE GRIN HOLDING A BLUE PLASTIC BASEBALL BAT.jpg,LITTLE BOY WITH A HUGE GRIN HOLDING A BLUE PLASTIC BASEBALL BAT
../../datasets/Styles/style0/A pond in the woods with a small dock and boats at the dock.jpg,A pond in the woods with a small dock and boats at the dock
../../datasets/Styles/style0/there is a white plate with a lot of food on it.jpg,there is a white plate with a lot of food on it
../../datasets/Styles/style0/A man wearing a furry hat sitting on a train.jpg,A man wearing a furry hat sitting on a train
../../datasets/Styles/style0/Several decorated cakes in a cold case at a bakery.jpg,Several decorated cakes in a cold case at a bakery
../../datasets/Styles/style0/An oven with a steel rack right next to it.jpg,An oven with a steel rack right next to it
../../datasets/Styles/style0/A person is holding a hot dog on a bun.jpg,A person is holding a hot dog on a bun
../../datasets/Styles/style0/A sheep walking through a grassy meadow with animals.jpg,A sheep walking through a grassy meadow with animals
../../datasets/Styles/style0/Six different doughnuts are in a box on a table.jpg,Six different doughnuts are in a box on a table
../../datasets/Styles/style0/A coffee cup sitting on granite counter top of a kitchen.jpg,A coffee cup sitting on granite counter top of a kitchen
../../datasets/Styles/style0/a surfer crouches low onto his surfboard as he rides a small wave.jpg,a surfer crouches low onto his surfboard as he rides a small wave
../../datasets/Styles/style0/a person swinging a bat at a ball at the beach.jpg,a person swinging a bat at a ball at the beach
../../datasets/Styles/style0/Two birds are standing together on green grass.jpg,Two birds are standing together on green grass
../../datasets/Styles/style0/Flowers are placed on a lunch table where food has been served for one person.jpg,Flowers are placed on a lunch table where food has been served for one person
../../datasets/Styles/style0/The train has stopped on the railroad tracks.jpg,The train has stopped on the railroad tracks
../../datasets/Styles/style0/A heard of sheep are grazing behind their confined area.jpg,A heard of sheep are grazing behind their confined area
../../datasets/Styles/style0/A man holding a white frisbee while standing in a  park.jpg,A man holding a white frisbee while standing in a  park
../../datasets/Styles/style0/A man with a computer looks out the window of a cafe.jpg,A man with a computer looks out the window of a cafe
../../datasets/Styles/style0/Man enjoys a drink while displaying his Christmas Tree tie.jpg,Man enjoys a drink while displaying his Christmas Tree tie
../../datasets/Styles/style0/A kid with a piece of bread in hand standing.jpg,A kid with a piece of bread in hand standing
../../datasets/Styles/style0/Two men standing next to a red wall and door.jpg,Two men standing next to a red wall and door
../../datasets/Styles/style0/A starry sky full of motion and change.jpg,A starry sky full of motion and change
../../datasets/Styles/style0/A large white airplane on a open lot.jpg,A large white airplane on a open lot
../../datasets/Styles/style0/A piece of cake and a fork on a plate.jpg,A piece of cake and a fork on a plate
../../datasets/Styles/style0/A giraffe that is standing in the dirt.jpg,A giraffe that is standing in the dirt
../../datasets/Styles/style0/people sitting on boards in the water with near by ship in the background.jpg,people sitting on boards in the water with near by ship in the background
../../datasets/Styles/style0/Man chopping a chicken on a butcher block with a bottle of wine in front.jpg,Man chopping a chicken on a butcher block with a bottle of wine in front
../../datasets/Styles/style0/a male with a red tie and a purple shirt.jpg,a male with a red tie and a purple shirt
../../datasets/Styles/style0/A single cow that is walking down a dirt road.jpg,A single cow that is walking down a dirt road
../../datasets/Styles/style0/A white truck on a pavement next to people.jpg,A white truck on a pavement next to people
../../datasets/Styles/style0/Group of soccer players on field with crowd watching them.jpg,Group of soccer players on field with crowd watching them
"../../datasets/Styles/style0/A meter of some kind from 1965 with a faded, pinkish color sits in a yard.jpg","A meter of some kind from 1965 with a faded, pinkish color sits in a yard"
../../datasets/Styles/style0/Professional baseball players toss balls on the field.jpg,Professional baseball players toss balls on the field
../../datasets/Styles/style0/A large airplane is flying across the sky.jpg,A large airplane is flying across the sky
../../datasets/Styles/style0/A beautiful woman sitting in front of a pizza.jpg,A beautiful woman sitting in front of a pizza
../../datasets/Styles/style0/A person on  a boat filled with drinks and food.jpg,A person on  a boat filled with drinks and food
../../datasets/Styles/style0/A fluffy cat is peeking out of a pocket book.jpg,A fluffy cat is peeking out of a pocket book
../../datasets/Styles/style0/A man is jumping on a skateboard above the ground.jpg,A man is jumping on a skateboard above the ground
../../datasets/Styles/style0/A street sign and some cars on a road.jpg,A street sign and some cars on a road
../../datasets/Styles/style0/a number of benches near one another in a building.jpg,a number of benches near one another in a building
../../datasets/Styles/style0/A pair of sneakers in a box next to a frisbee.jpg,A pair of sneakers in a box next to a frisbee
../../datasets/Styles/style0/A dog standing on a stoned patio area.jpg,A dog standing on a stoned patio area
../../datasets/Styles/style0/Two men holding Nintendo Wii game controllers near a desk.jpg,Two men holding Nintendo Wii game controllers near a desk
../../datasets/Styles/style0/People are riding in a boat on a waterway near some apartments.jpg,People are riding in a boat on a waterway near some apartments
../../datasets/Styles/style0/A laptop and a tablet on a table.jpg,A laptop and a tablet on a table
../../datasets/Styles/style0/a person sitting on a stool cutting a mannequins hair.jpg,a person sitting on a stool cutting a mannequins hair
../../datasets/Styles/style0/a close up of a person holding a tooth brush with tooth paste on it.jpg,a close up of a person holding a tooth brush with tooth paste on it
../../datasets/Styles/style0/A glass vase and fork on a table.jpg,A glass vase and fork on a table
../../datasets/Styles/style0/A zebra and a bear in a picture side by side.jpg,A zebra and a bear in a picture side by side
../../datasets/Styles/style0/Man sitting with bananas and other fruit or vegetables.jpg,Man sitting with bananas and other fruit or vegetables
../../datasets/Styles/style0/a black clock on top of a tower.jpg,a black clock on top of a tower
../../datasets/Styles/style0/The male tennis player waits to hit the next tennis ball.jpg,The male tennis player waits to hit the next tennis ball
../../datasets/Styles/style0/A group of horses pulling a carriage next to men.jpg,A group of horses pulling a carriage next to men
../../datasets/Styles/style0/A man on his motorcycle is attempting to mount before taking off.jpg,A man on his motorcycle is attempting to mount before taking off
../../datasets/Styles/style0/A group of teenagers playing Frisbee in the grass.jpg,A group of teenagers playing Frisbee in the grass
../../datasets/Styles/style0/A man with an Italian Sausage  standing on a street in front of the vendor.jpg,A man with an Italian Sausage  standing on a street in front of the vendor
../../datasets/Styles/style0/Two children are playing inside and outside of a gate.jpg,Two children are playing inside and outside of a gate
../../datasets/Styles/style0/a mini double decker bus getting ready to pick up people.jpg,a mini double decker bus getting ready to pick up people
../../datasets/Styles/style0/a desk with a laptop and a a keyboard.jpg,a desk with a laptop and a a keyboard
../../datasets/Styles/style0/a female holding a doughnut and dirnking a cup of coffee.jpg,a female holding a doughnut and dirnking a cup of coffee
../../datasets/Styles/style0/There is a white toilet with blue tiled walls behind it.jpg,There is a white toilet with blue tiled walls behind it
../../datasets/Styles/style0/A tall giraffe standing next to a few trees.jpg,A tall giraffe standing next to a few trees
../../datasets/Styles/style0/A male skateboarding over steps in front of other people.jpg,A male skateboarding over steps in front of other people
../../datasets/Styles/style0/A man leaned over asleep on a bench next to a bag.jpg,A man leaned over asleep on a bench next to a bag
../../datasets/Styles/style0/A group of snow skiers are on top of a mountain.jpg,A group of snow skiers are on top of a mountain
../../datasets/Styles/style0/Man alone on a sandy beach doing something.jpg,Man alone on a sandy beach doing something
../../datasets/Styles/style0/A man flying a kite and holding a small boy.jpg,A man flying a kite and holding a small boy
../../datasets/Styles/style0/View over a pizza with a slice missing looking out at a parking lot.jpg,View over a pizza with a slice missing looking out at a parking lot
../../datasets/Styles/style0/A red stop sign sitting above a three way sign.jpg,A red stop sign sitting above a three way sign
../../datasets/Styles/style0/A man in blue shirt holding a frisbee on beach.jpg,A man in blue shirt holding a frisbee on beach
../../datasets/Styles/style0/A man hitting a tennis ball with a tennis racquet.jpg,A man hitting a tennis ball with a tennis racquet
../../datasets/Styles/style0/Person standing in the sand flying a yellow kite.jpg,Person standing in the sand flying a yellow kite
../../datasets/Styles/style0/A skier whooshes to a stop on a ski trail.jpg,A skier whooshes to a stop on a ski trail
../../datasets/Styles/style0/A man jumping a skateboard over a metal pipe.jpg,A man jumping a skateboard over a metal pipe
../../datasets/Styles/style0/A BRUNCH PLATE WITH A SANDWICH AND GREENS.jpg,A BRUNCH PLATE WITH A SANDWICH AND GREENS
../../datasets/Styles/style0/A white plate topped with a sandwich and greens.jpg,A white plate topped with a sandwich and greens
../../datasets/Styles/style0/A couple of giraffes sitting and standing in an enclosure at a zoo.jpg,A couple of giraffes sitting and standing in an enclosure at a zoo
../../datasets/Styles/style0/A black and white photo of three cows laying on the ground.jpg,A black and white photo of three cows laying on the ground
../../datasets/Styles/style0/A sign on a tree says Not a Thru Street.jpg,A sign on a tree says Not a Thru Street
../../datasets/Styles/style0/A cat is laying on a paved area.jpg,A cat is laying on a paved area
../../datasets/Styles/style0/A display has several remote controls lined up.jpg,A display has several remote controls lined up
../../datasets/Styles/style0/A train is riding on a railroad track.jpg,A train is riding on a railroad track
../../datasets/Styles/style0/a close up of a cat sitting near many pairs of shoes.jpg,a close up of a cat sitting near many pairs of shoes
../../datasets/Styles/style0/The pole of the dual parking meter is colorfully decorated.jpg,The pole of the dual parking meter is colorfully decorated
../../datasets/Styles/style0/A man is standing over a kite in a field.jpg,A man is standing over a kite in a field
../../datasets/Styles/style0/A man kneeling on a surfboard on the ocean.jpg,A man kneeling on a surfboard on the ocean
../../datasets/Styles/style0/Woman in mid motion of hitting the tennis ball back to the other side.jpg,Woman in mid motion of hitting the tennis ball back to the other side
../../datasets/Styles/style0/A smiling boy is feeding a giraffe through a fence.jpg,A smiling boy is feeding a giraffe through a fence
../../datasets/Styles/style0/A cow looking at the camera in a field of mud.jpg,A cow looking at the camera in a field of mud
../../datasets/Styles/style0/A brick wall with a sign in front of it that reads CECIL RD.jpg,A brick wall with a sign in front of it that reads CECIL RD
../../datasets/Styles/style0/Stop sign in front of a row of houses.jpg,Stop sign in front of a row of houses
../../datasets/Styles/style0/A woman in red sweatshirt and stocking cap showing us her sandwich.jpg,A woman in red sweatshirt and stocking cap showing us her sandwich
../../datasets/Styles/style0/A person on a bike and kid behind him.jpg,A person on a bike and kid behind him
../../datasets/Styles/style0/Large black clock sitting on a street display in a city.jpg,Large black clock sitting on a street display in a city
../../datasets/Styles/style0/A clock reads twelve o'clock on the street.jpg,A clock reads twelve o'clock on the street
../../datasets/Styles/style0/Several flowers in a vase and a plate of food on a table.jpg,Several flowers in a vase and a plate of food on a table
../../datasets/Styles/style0/A giraffe with other animals on a grassy field.jpg,A giraffe with other animals on a grassy field
../../datasets/Styles/style0/She threw the frisbee and aimed it with great expertise.jpg,She threw the frisbee and aimed it with great expertise
../../datasets/Styles/style0/A beautiful woman with a short hair cut.jpg,A beautiful woman with a short hair cut
../../datasets/Styles/style0/A pink fire hydrant sitting next to a sidewalk.jpg,A pink fire hydrant sitting next to a sidewalk
"../../datasets/Styles/style0/MAN DRESSED IN SUIT AND TIE, WEARING A HAT AND SUNGLASSES.jpg","MAN DRESSED IN SUIT AND TIE, WEARING A HAT AND SUNGLASSES"
../../datasets/Styles/style0/A closeup shot of the insides of a squash.jpg,A closeup shot of the insides of a squash
../../datasets/Styles/style0/Guy wearing glasses and a tie smiles for the camera.jpg,Guy wearing glasses and a tie smiles for the camera
../../datasets/Styles/style0/A fork and a piece of food sit on a plate.jpg,A fork and a piece of food sit on a plate
"../../datasets/Styles/style0/A plate of food with vegetables, pasta and meat.jpg","A plate of food with vegetables, pasta and meat"
"../../datasets/Styles/style0/A plate of food containing a sandwich with a tooth pick, lettuce, tomato fries and cole slaw.jpg","A plate of food containing a sandwich with a tooth pick, lettuce, tomato fries and cole slaw"
../../datasets/Styles/style0/a woman sitting on a wooden bench surrounded by trees.jpg,a woman sitting on a wooden bench surrounded by trees
../../datasets/Styles/style0/A partly eaten pizza and a fork with wine on the table.jpg,A partly eaten pizza and a fork with wine on the table
../../datasets/Styles/style0/A sandwich sitting on top of a plate on a table.jpg,A sandwich sitting on top of a plate on a table
../../datasets/Styles/style0/Many cows in a field drink from a river nearby.jpg,Many cows in a field drink from a river nearby
../../datasets/Styles/style0/Friends playing with a Frisbee in the park.jpg,Friends playing with a Frisbee in the park
../../datasets/Styles/style0/A truck riding down the street in a city.jpg,A truck riding down the street in a city
../../datasets/Styles/style0/a kitchen that is one with the dinning room and the living room near by.jpg,a kitchen that is one with the dinning room and the living room near by
../../datasets/Styles/style0/A brown dog carrying a frisbee in its mouth.jpg,A brown dog carrying a frisbee in its mouth
../../datasets/Styles/style0/A red train car traveling through a lush green forest.jpg,A red train car traveling through a lush green forest
../../datasets/Styles/style0/A photo taken from a plane looking down at the snow covered mountains.jpg,A photo taken from a plane looking down at the snow covered mountains
../../datasets/Styles/style0/A dining and kitchen area combination with people cooking and other sitting at the dining table while a dog begs.jpg,A dining and kitchen area combination with people cooking and other sitting at the dining table while a dog begs
../../datasets/Styles/style0/Two slices of pizza with pepperoni and olives.jpg,Two slices of pizza with pepperoni and olives
../../datasets/Styles/style0/A man dressed in business casual attire and wearing a tie.jpg,A man dressed in business casual attire and wearing a tie
../../datasets/Styles/style0/The small bathroom has a blue couch in it.jpg,The small bathroom has a blue couch in it
../../datasets/Styles/style0/A man is skiing down a snowy slope.jpg,A man is skiing down a snowy slope
../../datasets/Styles/style0/A striped tabby cat in a necktie relaxes on a chair beside a pile of books.jpg,A striped tabby cat in a necktie relaxes on a chair beside a pile of books
../../datasets/Styles/style0/A stack of bins provides handy dry storage close to the fridge.jpg,A stack of bins provides handy dry storage close to the fridge
../../datasets/Styles/style0/A walkway alongside a train which appears to be stopped at the station.jpg,A walkway alongside a train which appears to be stopped at the station
../../datasets/Styles/style0/A man walking near a person standing on a snowboard in the snow.jpg,A man walking near a person standing on a snowboard in the snow
../../datasets/Styles/style0/Two men and a dog in between two trains on the track.jpg,Two men and a dog in between two trains on the track
../../datasets/Styles/style0/People in line waiting to board a bus.jpg,People in line waiting to board a bus
../../datasets/Styles/style0/A person riding a skateboard on a concrete ground area that has grass and bushes around it.jpg,A person riding a skateboard on a concrete ground area that has grass and bushes around it
../../datasets/Styles/style0/In the dark you can see Bernie bubble bus.jpg,In the dark you can see Bernie bubble bus
../../datasets/Styles/style0/A vase with white flowers is sitting on a table.jpg,A vase with white flowers is sitting on a table
../../datasets/Styles/style0/some strands of hair sits next to a pair of scissors.jpg,some strands of hair sits next to a pair of scissors
../../datasets/Styles/style0/A backpack with rollers is sitting unattended in the middle of this forested dirt road.jpg,A backpack with rollers is sitting unattended in the middle of this forested dirt road
"../../datasets/Styles/style0/Avocados, tomatoes on the vine, and bananas arranged in buckets.jpg","Avocados, tomatoes on the vine, and bananas arranged in buckets"
../../datasets/Styles/style0/An empty sign stands next to a road.jpg,An empty sign stands next to a road
../../datasets/Styles/style0/a bowl of noodles and vegetables on a table.jpg,a bowl of noodles and vegetables on a table
"../../datasets/Styles/style0/Of the six interesting vessels, three of them hold bright flower stems.jpg","Of the six interesting vessels, three of them hold bright flower stems"
../../datasets/Styles/style0/A large water bird floats near a walkway that crosses the water while reeds grow nearby.jpg,A large water bird floats near a walkway that crosses the water while reeds grow nearby
../../datasets/Styles/style0/a person holding a doughnut in his hand.jpg,a person holding a doughnut in his hand
../../datasets/Styles/style0/An empty bench along side a street bench.jpg,An empty bench along side a street bench
../../datasets/Styles/style0/A pair of black scissors on top of a table near a coaster.jpg,A pair of black scissors on top of a table near a coaster
../../datasets/Styles/style0/A stuffed cow sitting alone on a bed.jpg,A stuffed cow sitting alone on a bed
../../datasets/Styles/style0/An old train has a logging company logo.jpg,An old train has a logging company logo
../../datasets/Styles/style0/A man in the water hangs onto the side of a canoe in the river.jpg,A man in the water hangs onto the side of a canoe in the river
../../datasets/Styles/style0/some soup and broccoli in a small white bowl.jpg,some soup and broccoli in a small white bowl
../../datasets/Styles/style0/A man with a helmet on a skateboard ramp and doing a trick in the air.jpg,A man with a helmet on a skateboard ramp and doing a trick in the air
../../datasets/Styles/style0/Train rolling down the tracks beside homes on a clear day.jpg,Train rolling down the tracks beside homes on a clear day
../../datasets/Styles/style0/A man in a park near some trees flying a kite.jpg,A man in a park near some trees flying a kite
../../datasets/Styles/style0/A field parked with motorcycles sitting next to each other.jpg,A field parked with motorcycles sitting next to each other
../../datasets/Styles/style0/A mouse not connected to anything sitting on top of a keyboard.jpg,A mouse not connected to anything sitting on top of a keyboard
../../datasets/Styles/style0/THERE IS A GARBAGE TRUCK ON THE STREET AT NIGHT.jpg,THERE IS A GARBAGE TRUCK ON THE STREET AT NIGHT
../../datasets/Styles/style0/Grits in a bowl with a spoon with two lemons sitting beside the bowl.jpg,Grits in a bowl with a spoon with two lemons sitting beside the bowl
"../../datasets/Styles/style0/A small, black cat sleeps next to a mouse and keyboard.jpg","A small, black cat sleeps next to a mouse and keyboard"
../../datasets/Styles/style0/a bathroom with a toilet and sink inside of it.jpg,a bathroom with a toilet and sink inside of it
../../datasets/Styles/style0/A pot with a lid is filled with chopped up broccoli.jpg,A pot with a lid is filled with chopped up broccoli
../../datasets/Styles/style0/A living room filled with furniture and a sliding glass door.jpg,A living room filled with furniture and a sliding glass door
../../datasets/Styles/style0/A young child standing in front of an open fridge.jpg,A young child standing in front of an open fridge
../../datasets/Styles/style0/a close up of a child brushing her teeth.jpg,a close up of a child brushing her teeth
../../datasets/Styles/style0/a couple of men are sitting on a bike.jpg,a couple of men are sitting on a bike
../../datasets/Styles/style0/Three surfers standing in the sand holding surfboards.jpg,Three surfers standing in the sand holding surfboards
../../datasets/Styles/style0/A man holding a surfboard in the water with waves in the distance.jpg,A man holding a surfboard in the water with waves in the distance
../../datasets/Styles/style0/A pair of people herd cows on a field.jpg,A pair of people herd cows on a field
../../datasets/Styles/style0/A statue of a lion in front of a clock tower.jpg,A statue of a lion in front of a clock tower
../../datasets/Styles/style0/A large truck with giant tires and a metal thing.jpg,A large truck with giant tires and a metal thing
../../datasets/Styles/style0/A baseball player for the Los Angeles Dodgers swings at a pitch.jpg,A baseball player for the Los Angeles Dodgers swings at a pitch
../../datasets/Styles/style0/A passenger bus that has been parked on the side of a street.jpg,A passenger bus that has been parked on the side of a street
../../datasets/Styles/style0/A person is skiing down a steep slope.jpg,A person is skiing down a steep slope
