image,text
../../datasets/Styles/style2/A toilet with a bottle and some trash in it.jpg,A toilet with a bottle and some trash in it
../../datasets/Styles/style2/A bird looking to its right on a tree branch.jpg,A bird looking to its right on a tree branch
../../datasets/Styles/style2/A white toilet mounted against a bathroom wall.jpg,A white toilet mounted against a bathroom wall
../../datasets/Styles/style2/A young girl is batting on a field.jpg,A young girl is batting on a field
../../datasets/Styles/style2/An orange and white cat and beaver looking at an ear of corn.jpg,An orange and white cat and beaver looking at an ear of corn
../../datasets/Styles/style2/a old bed and water heater in a room.jpg,a old bed and water heater in a room
../../datasets/Styles/style2/a white train is coming down some tracks.jpg,a white train is coming down some tracks
../../datasets/Styles/style2/very bright colored looking market with a bunch of fruit.jpg,very bright colored looking market with a bunch of fruit
../../datasets/Styles/style2/A skiier is pictured in well-trampled snow with a nearby large snowball.jpg,A skiier is pictured in well-trampled snow with a nearby large snowball
"../../datasets/Styles/style2/A man about to bump fists with another man, both baseball players.jpg","A man about to bump fists with another man, both baseball players"
../../datasets/Styles/style2/A happy girl riding a boogie board all the way to the beach.jpg,A happy girl riding a boogie board all the way to the beach
../../datasets/Styles/style2/a game of ultimate frisbee in college level.jpg,a game of ultimate frisbee in college level
../../datasets/Styles/style2/Scissors sitting next to white sticks and a blanket.jpg,Scissors sitting next to white sticks and a blanket
../../datasets/Styles/style2/A blue train is on the train tracks near electric wires.jpg,A blue train is on the train tracks near electric wires
../../datasets/Styles/style2/Black and white photograph of multiple planes in dirt area.jpg,Black and white photograph of multiple planes in dirt area
../../datasets/Styles/style2/A bus is parked outside of a stadium awaiting passengers to board.jpg,A bus is parked outside of a stadium awaiting passengers to board
../../datasets/Styles/style2/an older man and two horses pulling a cart.jpg,an older man and two horses pulling a cart
../../datasets/Styles/style2/A boy and girl sitting on top of a skateboard.jpg,A boy and girl sitting on top of a skateboard
../../datasets/Styles/style2/Two people are reaching up for a white Frisbee.jpg,Two people are reaching up for a white Frisbee
../../datasets/Styles/style2/An industrial sized blender filling a jar.jpg,An industrial sized blender filling a jar
../../datasets/Styles/style2/A bird's eye view of a tennis match in a crowded stadium.jpg,A bird's eye view of a tennis match in a crowded stadium
../../datasets/Styles/style2/A person that is cooking some food in a store.jpg,A person that is cooking some food in a store
../../datasets/Styles/style2/a man on a skateboard rides on the inside wall of an empty swimming pool.jpg,a man on a skateboard rides on the inside wall of an empty swimming pool
../../datasets/Styles/style2/A baby elephant standing next to it's parents.jpg,A baby elephant standing next to it's parents
../../datasets/Styles/style2/The person has a cellphone in their hand that is off.jpg,The person has a cellphone in their hand that is off
../../datasets/Styles/style2/A fake fire hydrant on a plate next to a basket of toys.jpg,A fake fire hydrant on a plate next to a basket of toys
../../datasets/Styles/style2/An architectural clock in a historical building in Prague.jpg,An architectural clock in a historical building in Prague
../../datasets/Styles/style2/Small public bathroom with small white sinks with mirrors.jpg,Small public bathroom with small white sinks with mirrors
../../datasets/Styles/style2/a white red black and blue truck and a white house.jpg,a white red black and blue truck and a white house
../../datasets/Styles/style2/A young bear stands on a boulder in the brush.jpg,A young bear stands on a boulder in the brush
../../datasets/Styles/style2/A sleigh ride on a cold morning in Vermont.jpg,A sleigh ride on a cold morning in Vermont
../../datasets/Styles/style2/A man on a skate board going down hill through some cones.jpg,A man on a skate board going down hill through some cones
../../datasets/Styles/style2/A small white boat on the open water.jpg,A small white boat on the open water
../../datasets/Styles/style2/A cute cat sitting on a wooden park bench.jpg,A cute cat sitting on a wooden park bench
../../datasets/Styles/style2/Pencils are spilling out on a mouse pad.jpg,Pencils are spilling out on a mouse pad
../../datasets/Styles/style2/a long bus is parked outside of a car garage.jpg,a long bus is parked outside of a car garage
../../datasets/Styles/style2/A bathroom door is open and has writing on it.jpg,A bathroom door is open and has writing on it
../../datasets/Styles/style2/A bathroom has some neatly placed folded towels.jpg,A bathroom has some neatly placed folded towels
../../datasets/Styles/style2/A little girl and boy are sitting on the couch with two women watching a movie as the girl cups her mouth.jpg,A little girl and boy are sitting on the couch with two women watching a movie as the girl cups her mouth
../../datasets/Styles/style2/A man holding his bride as they cute their wedding cake.jpg,A man holding his bride as they cute their wedding cake
../../datasets/Styles/style2/Vehicles at roadway intersection on clear sunny day.jpg,Vehicles at roadway intersection on clear sunny day
../../datasets/Styles/style2/Four people are looking at two calves and a cat.jpg,Four people are looking at two calves and a cat
../../datasets/Styles/style2/A locomotive train on a track by the side of a body of water and hills in the distance.jpg,A locomotive train on a track by the side of a body of water and hills in the distance
../../datasets/Styles/style2/a cat with feet and a persons boots.jpg,a cat with feet and a persons boots
../../datasets/Styles/style2/a bird is standing on a green chair.jpg,a bird is standing on a green chair
../../datasets/Styles/style2/A group of people flying kites on a field.jpg,A group of people flying kites on a field
"../../datasets/Styles/style2/A man is leaping in the air, serving a tennis ball.jpg","A man is leaping in the air, serving a tennis ball"
../../datasets/Styles/style2/Tourists enjoying spirits at an underground brewery.jpg,Tourists enjoying spirits at an underground brewery
../../datasets/Styles/style2/A repair man is fixing the cabinet in the kitchen.jpg,A repair man is fixing the cabinet in the kitchen
../../datasets/Styles/style2/many people on some grass cars and kites.jpg,many people on some grass cars and kites
../../datasets/Styles/style2/a person sitting on a bench with their head crouched over.jpg,a person sitting on a bench with their head crouched over
../../datasets/Styles/style2/An elephant stands on its hind legs in front of spectators.jpg,An elephant stands on its hind legs in front of spectators
../../datasets/Styles/style2/a girl in a black dress laying on her bed and a black and white teddy bear.jpg,a girl in a black dress laying on her bed and a black and white teddy bear
../../datasets/Styles/style2/A kitchen has it's counter top lit up.jpg,A kitchen has it's counter top lit up
../../datasets/Styles/style2/The man is jumping into the air with a Frisbee near a house.jpg,The man is jumping into the air with a Frisbee near a house
../../datasets/Styles/style2/A baseball player prepares to hit a home run.jpg,A baseball player prepares to hit a home run
../../datasets/Styles/style2/Two chefs are standing in the kitchen smiling.jpg,Two chefs are standing in the kitchen smiling
../../datasets/Styles/style2/A Kitchen Aid blender is unplugged and on display.jpg,A Kitchen Aid blender is unplugged and on display
"../../datasets/Styles/style2/A room with a bed, table, microwave, small refrigerator and a nightstand with books.jpg","A room with a bed, table, microwave, small refrigerator and a nightstand with books"
../../datasets/Styles/style2/Used bottle of hair coloring in front of a mirror.jpg,Used bottle of hair coloring in front of a mirror
../../datasets/Styles/style2/Open savanna with a lone giraffe facing the camera.jpg,Open savanna with a lone giraffe facing the camera
../../datasets/Styles/style2/A train station with several people and parked trains.jpg,A train station with several people and parked trains
../../datasets/Styles/style2/A man holding a skateboard on a sidewalk.jpg,A man holding a skateboard on a sidewalk
../../datasets/Styles/style2/A group of three men sitting next to each other in a tent.jpg,A group of three men sitting next to each other in a tent
../../datasets/Styles/style2/A red plate has a desert with blueberries on it.jpg,A red plate has a desert with blueberries on it
../../datasets/Styles/style2/Small child with glasses holding up food to his face.jpg,Small child with glasses holding up food to his face
../../datasets/Styles/style2/A man sitting at a table using a laptop computer.jpg,A man sitting at a table using a laptop computer
../../datasets/Styles/style2/A person wearing two different shoes eating a piece of food.jpg,A person wearing two different shoes eating a piece of food
../../datasets/Styles/style2/A picture of an umbrella on the street.jpg,A picture of an umbrella on the street
../../datasets/Styles/style2/This is a man working on a construction site on a busy road.jpg,This is a man working on a construction site on a busy road
../../datasets/Styles/style2/an image of kids riding on their skateboards.jpg,an image of kids riding on their skateboards
../../datasets/Styles/style2/A group of men standing next to each other wearing face paint.jpg,A group of men standing next to each other wearing face paint
../../datasets/Styles/style2/A group of people standing on and around a white and black van.jpg,A group of people standing on and around a white and black van
../../datasets/Styles/style2/A little girl trying to brush a birds beak with a tooth brush.jpg,A little girl trying to brush a birds beak with a tooth brush
../../datasets/Styles/style2/a young boy reading a book about henry's  newspaper.jpg,a young boy reading a book about henry's  newspaper
../../datasets/Styles/style2/An adult brown horse standing next to two baby brown horses.jpg,An adult brown horse standing next to two baby brown horses
../../datasets/Styles/style2/A sandwich on top of a plate with juice.jpg,A sandwich on top of a plate with juice
../../datasets/Styles/style2/A very small girl flying a kite in a field.jpg,A very small girl flying a kite in a field
"../../datasets/Styles/style2/A pan topped with cheep pizza, a fork and a knife.jpg","A pan topped with cheep pizza, a fork and a knife"
../../datasets/Styles/style2/A man standing in front of a table holding a frisbee in his hands.jpg,A man standing in front of a table holding a frisbee in his hands
../../datasets/Styles/style2/The girl is using her right arm to hit the ball.jpg,The girl is using her right arm to hit the ball
../../datasets/Styles/style2/a bowl of vegetables with a spoon sitting on a table.jpg,a bowl of vegetables with a spoon sitting on a table
../../datasets/Styles/style2/A group of people walking in front of a fence as a bus goes by.jpg,A group of people walking in front of a fence as a bus goes by
../../datasets/Styles/style2/Two people on a ski lift ride above the buildings.jpg,Two people on a ski lift ride above the buildings
../../datasets/Styles/style2/Some of the Catholic School children are lined up in single file before the microphone.jpg,Some of the Catholic School children are lined up in single file before the microphone
../../datasets/Styles/style2/Someone in a car taking a picture of another car and an airplane.jpg,Someone in a car taking a picture of another car and an airplane
../../datasets/Styles/style2/A woman swings her tennis racket to hit the ball.jpg,A woman swings her tennis racket to hit the ball
../../datasets/Styles/style2/She is getting ready to fly that kite.jpg,She is getting ready to fly that kite
../../datasets/Styles/style2/Man sitting at desk in office with sandwich.jpg,Man sitting at desk in office with sandwich
../../datasets/Styles/style2/A family poses for a picture on the downhill ski slope.jpg,A family poses for a picture on the downhill ski slope
../../datasets/Styles/style2/A sign for a restaruant hangs from the wall.jpg,A sign for a restaruant hangs from the wall
../../datasets/Styles/style2/A man standing next to a  flying white frisbee.jpg,A man standing next to a  flying white frisbee
../../datasets/Styles/style2/A variety of desserts being displayed on some shelves.jpg,A variety of desserts being displayed on some shelves
../../datasets/Styles/style2/There are people standing outside that are holding umbrellas.jpg,There are people standing outside that are holding umbrellas
../../datasets/Styles/style2/a man holding a tennis racket playing inside a building.jpg,a man holding a tennis racket playing inside a building
../../datasets/Styles/style2/A person standing on the edge of a skateboard and riding two wheels.jpg,A person standing on the edge of a skateboard and riding two wheels
../../datasets/Styles/style2/A person is holding a cauliflower head in their hand.jpg,A person is holding a cauliflower head in their hand
../../datasets/Styles/style2/A dinner table with several different dishes on it.jpg,A dinner table with several different dishes on it
../../datasets/Styles/style2/a man doing a hand stand in the road while holding a skateboard.jpg,a man doing a hand stand in the road while holding a skateboard
../../datasets/Styles/style2/An empty passenger train with windows says summer wind.jpg,An empty passenger train with windows says summer wind
../../datasets/Styles/style2/a street sign sits atop of a pole.jpg,a street sign sits atop of a pole
../../datasets/Styles/style2/A little kid  that is holding a kite.jpg,A little kid  that is holding a kite
../../datasets/Styles/style2/A man blowing out candles on a cake.jpg,A man blowing out candles on a cake
../../datasets/Styles/style2/A baseball player for the Angels holding a bat and wearing a helmet.jpg,A baseball player for the Angels holding a bat and wearing a helmet
../../datasets/Styles/style2/Four zebra stand in a field of tall brown grass.jpg,Four zebra stand in a field of tall brown grass
../../datasets/Styles/style2/A woman grilling fruit on a dirt covered street.jpg,A woman grilling fruit on a dirt covered street
../../datasets/Styles/style2/Woman in a chair outside using a laptop.jpg,Woman in a chair outside using a laptop
../../datasets/Styles/style2/A group of street signs at the end of a vacant block.jpg,A group of street signs at the end of a vacant block
../../datasets/Styles/style2/A dog sitting in the grass looking up.jpg,A dog sitting in the grass looking up
../../datasets/Styles/style2/A bed with flowery blankets and pillow cases.jpg,A bed with flowery blankets and pillow cases
../../datasets/Styles/style2/One man drinking from a beer bottle and another from a flask.jpg,One man drinking from a beer bottle and another from a flask
../../datasets/Styles/style2/A blender sits on a table near two shot glasses.jpg,A blender sits on a table near two shot glasses
../../datasets/Styles/style2/Grey commuter train at platform of covered station.jpg,Grey commuter train at platform of covered station
../../datasets/Styles/style2/A warning sign on the side of the road.jpg,A warning sign on the side of the road
../../datasets/Styles/style2/Street sign in front of a house on Ramsay St.jpg,Street sign in front of a house on Ramsay St
../../datasets/Styles/style2/Lit-up bridge in a city at night over a street.jpg,Lit-up bridge in a city at night over a street
../../datasets/Styles/style2/A bunch of different cakes on a white plate.jpg,A bunch of different cakes on a white plate
../../datasets/Styles/style2/two little goats laying down beside each other.jpg,two little goats laying down beside each other
"../../datasets/Styles/style2/VEGETABLE AND FRUIT INCLUDE BANANAS, CARROTS, KIWI, AND SQUASH.jpg","VEGETABLE AND FRUIT INCLUDE BANANAS, CARROTS, KIWI, AND SQUASH"
../../datasets/Styles/style2/A display in front of a store filled with fruits.jpg,A display in front of a store filled with fruits
"../../datasets/Styles/style2/A group of young men preparing to play tennis, one wearing an animal suit.jpg","A group of young men preparing to play tennis, one wearing an animal suit"
../../datasets/Styles/style2/Man on a tennis court holding tennis racket and ball.jpg,Man on a tennis court holding tennis racket and ball
../../datasets/Styles/style2/an adult jumping in a bed with sheets.jpg,an adult jumping in a bed with sheets
../../datasets/Styles/style2/A holiday display with ornaments ans stuffed animals.jpg,A holiday display with ornaments ans stuffed animals
../../datasets/Styles/style2/A red city bus making a turn on the street.jpg,A red city bus making a turn on the street
../../datasets/Styles/style2/An intersection with cars driving down a street.jpg,An intersection with cars driving down a street
../../datasets/Styles/style2/A professional baseball player awaiting a pitch at home plate.jpg,A professional baseball player awaiting a pitch at home plate
../../datasets/Styles/style2/A man speaking at a podium in a conference room.jpg,A man speaking at a podium in a conference room
../../datasets/Styles/style2/A man holding a brown teddy bear in his right hand.jpg,A man holding a brown teddy bear in his right hand
../../datasets/Styles/style2/A small bird is on the street by the curb.jpg,A small bird is on the street by the curb
../../datasets/Styles/style2/A suite case that has a large quantity of glasses in it.jpg,A suite case that has a large quantity of glasses in it
../../datasets/Styles/style2/A fire hydrant is next to a no dogs sign.jpg,A fire hydrant is next to a no dogs sign
../../datasets/Styles/style2/A beautiful blond woman swinging a tennis racquet at a tennis ball.jpg,A beautiful blond woman swinging a tennis racquet at a tennis ball
../../datasets/Styles/style2/A cat standing next to a person lying on a bed.jpg,A cat standing next to a person lying on a bed
../../datasets/Styles/style2/A group of various items that are on a counter.jpg,A group of various items that are on a counter
../../datasets/Styles/style2/There is a very large stop sign on the corner of this street.jpg,There is a very large stop sign on the corner of this street
../../datasets/Styles/style2/A man with goatee holding a baby in a theater.jpg,A man with goatee holding a baby in a theater
../../datasets/Styles/style2/A woman holding up a cell phone in front of her face.jpg,A woman holding up a cell phone in front of her face
../../datasets/Styles/style2/Two road flaggers one holding a stop sign.jpg,Two road flaggers one holding a stop sign
../../datasets/Styles/style2/a pitcher clearing the mound getting ready to play.jpg,a pitcher clearing the mound getting ready to play
../../datasets/Styles/style2/A group of people crammed onto a motorcycle on a road.jpg,A group of people crammed onto a motorcycle on a road
../../datasets/Styles/style2/A Boise cargo train on the train tracks.jpg,A Boise cargo train on the train tracks
../../datasets/Styles/style2/A chubby young man holding a yellow disc.jpg,A chubby young man holding a yellow disc
../../datasets/Styles/style2/there are two giraffes that are embracing together on a field.jpg,there are two giraffes that are embracing together on a field
../../datasets/Styles/style2/A man taking pictures of an elephant walking in a zoo.jpg,A man taking pictures of an elephant walking in a zoo
../../datasets/Styles/style2/A young woman holding a tennis racquet on a tennis court.jpg,A young woman holding a tennis racquet on a tennis court
../../datasets/Styles/style2/a group of giraffes walk along a path in the safari.jpg,a group of giraffes walk along a path in the safari
../../datasets/Styles/style2/A bowl of fruit and foods on top of a wooden table.jpg,A bowl of fruit and foods on top of a wooden table
../../datasets/Styles/style2/Two birds perch on a rail near a plant.jpg,Two birds perch on a rail near a plant
../../datasets/Styles/style2/An elephant with polka dotted ears eating grass.jpg,An elephant with polka dotted ears eating grass
../../datasets/Styles/style2/A man and a young child sitting at a desk on a computer.jpg,A man and a young child sitting at a desk on a computer
../../datasets/Styles/style2/A long colorful train traveling down train tracks.jpg,A long colorful train traveling down train tracks
../../datasets/Styles/style2/The remote controls are placed on the side of the television.jpg,The remote controls are placed on the side of the television
../../datasets/Styles/style2/kitchen with large sink and washed dishes drying.jpg,kitchen with large sink and washed dishes drying
../../datasets/Styles/style2/A photo looking down an alley at a clock tower.jpg,A photo looking down an alley at a clock tower
../../datasets/Styles/style2/This platter of food includes a variety of foods.jpg,This platter of food includes a variety of foods
../../datasets/Styles/style2/A man on white surfboard paddling down a river.jpg,A man on white surfboard paddling down a river
"../../datasets/Styles/style2/A dish of salmon with pesto, with brocolli on the side.jpg","A dish of salmon with pesto, with brocolli on the side"
../../datasets/Styles/style2/black and white photo of a bus and some kids.jpg,black and white photo of a bus and some kids
../../datasets/Styles/style2/A baby is smiling with a teddy bear.jpg,A baby is smiling with a teddy bear
../../datasets/Styles/style2/Two guys prepare to take a canoe out on the ocean.jpg,Two guys prepare to take a canoe out on the ocean
../../datasets/Styles/style2/A large roman numeral clock is lit up in the dark.jpg,A large roman numeral clock is lit up in the dark
../../datasets/Styles/style2/An old rusted stop sign sitting in some bushes.jpg,An old rusted stop sign sitting in some bushes
../../datasets/Styles/style2/A white truck is pulling a trailer while a man in black walks by.jpg,A white truck is pulling a trailer while a man in black walks by
../../datasets/Styles/style2/A banana split sits in a glass bowl on a table.jpg,A banana split sits in a glass bowl on a table
../../datasets/Styles/style2/A person prepares to swing at a tennis ball.jpg,A person prepares to swing at a tennis ball
../../datasets/Styles/style2/A large fishing boat is traveling on the water.jpg,A large fishing boat is traveling on the water
../../datasets/Styles/style2/A man with a para sail chute flying it in the air.jpg,A man with a para sail chute flying it in the air
../../datasets/Styles/style2/Three people standing together with cell phones in their hands.jpg,Three people standing together with cell phones in their hands
"../../datasets/Styles/style2/A person wearing black and white, catching a soccer ball.jpg","A person wearing black and white, catching a soccer ball"
../../datasets/Styles/style2/Light green and white painted fire hydrant with people walking in background.jpg,Light green and white painted fire hydrant with people walking in background
../../datasets/Styles/style2/A small knife sites outside a jacket pocket.jpg,A small knife sites outside a jacket pocket
../../datasets/Styles/style2/THREE ZEBRAS WALKING TOWARDS THE RIVER FOR A DRINK.jpg,THREE ZEBRAS WALKING TOWARDS THE RIVER FOR A DRINK
../../datasets/Styles/style2/An outdoor bed and chair sit under a canopy.jpg,An outdoor bed and chair sit under a canopy
../../datasets/Styles/style2/A airplane coming in a for a landing on the water.jpg,A airplane coming in a for a landing on the water
../../datasets/Styles/style2/Snow covered mountains with people going skiing.jpg,Snow covered mountains with people going skiing
../../datasets/Styles/style2/a baby boy wearing blue is sleeping and holding his stuffed animal.jpg,a baby boy wearing blue is sleeping and holding his stuffed animal
../../datasets/Styles/style2/A construction truck carrying a large crane on it.jpg,A construction truck carrying a large crane on it
../../datasets/Styles/style2/A truck with a guitar on the side sits in a sidewalk.jpg,A truck with a guitar on the side sits in a sidewalk
../../datasets/Styles/style2/Three kids posing with each other next to a stop sign.jpg,Three kids posing with each other next to a stop sign
"../../datasets/Styles/style2/A plate has chicken, potatoes and toast on it.jpg","A plate has chicken, potatoes and toast on it"
../../datasets/Styles/style2/There are track in the snow from a skier.jpg,There are track in the snow from a skier
../../datasets/Styles/style2/A man standing in front of a TV playing a video game.jpg,A man standing in front of a TV playing a video game
../../datasets/Styles/style2/A miniature basket of fruit is displayed by a penny.jpg,A miniature basket of fruit is displayed by a penny
../../datasets/Styles/style2/dark colored cows standing close to a fence.jpg,dark colored cows standing close to a fence
../../datasets/Styles/style2/A teen in a pinny prepares to throw a Frisbee.jpg,A teen in a pinny prepares to throw a Frisbee
../../datasets/Styles/style2/A man reaches up with a tennis racket.jpg,A man reaches up with a tennis racket
../../datasets/Styles/style2/Several giraffes are standing on the short grass.jpg,Several giraffes are standing on the short grass
../../datasets/Styles/style2/This fork is cutting food on a plate.jpg,This fork is cutting food on a plate
../../datasets/Styles/style2/A red stop sign sitting next to a parking lot.jpg,A red stop sign sitting next to a parking lot
../../datasets/Styles/style2/There is a skateboarder jumping over another person.jpg,There is a skateboarder jumping over another person
../../datasets/Styles/style2/A flock of sheep are walking down the road.jpg,A flock of sheep are walking down the road
../../datasets/Styles/style2/A man sitting on a bench next to a brown cow with horns.jpg,A man sitting on a bench next to a brown cow with horns
../../datasets/Styles/style2/This photo shows several cell phones in a group.jpg,This photo shows several cell phones in a group
../../datasets/Styles/style2/A large group of people holding up stuffed animals.jpg,A large group of people holding up stuffed animals
../../datasets/Styles/style2/Herd of animals standing together by the water.jpg,Herd of animals standing together by the water
../../datasets/Styles/style2/A horse that is pulling a cart in the street.jpg,A horse that is pulling a cart in the street
../../datasets/Styles/style2/THERE IS A LINE OF A LOT OF MOTORCYCLES ON THE STREET.jpg,THERE IS A LINE OF A LOT OF MOTORCYCLES ON THE STREET
../../datasets/Styles/style2/a  surfer doing a good job of riding the wave.jpg,a  surfer doing a good job of riding the wave
../../datasets/Styles/style2/A young man jumps on his skateboard.jpg,A young man jumps on his skateboard
../../datasets/Styles/style2/An airplane playing over a field of bushes.jpg,An airplane playing over a field of bushes
../../datasets/Styles/style2/A large pizza covered in lots of cheese.jpg,A large pizza covered in lots of cheese
../../datasets/Styles/style2/A yellow bus driving through a river filled with passengers.jpg,A yellow bus driving through a river filled with passengers
../../datasets/Styles/style2/A red umbrella on the ground in front of brick building.jpg,A red umbrella on the ground in front of brick building
../../datasets/Styles/style2/a white and brown horse walking around a fenced off area.jpg,a white and brown horse walking around a fenced off area
../../datasets/Styles/style2/A plate with different types of fruit on it.jpg,A plate with different types of fruit on it
../../datasets/Styles/style2/A young boy standing on top of a sandy beach.jpg,A young boy standing on top of a sandy beach
../../datasets/Styles/style2/A large US Air Force plane is sitting in a field of mulch for display.jpg,A large US Air Force plane is sitting in a field of mulch for display
../../datasets/Styles/style2/A person is removing a dish of baked food from an oven.jpg,A person is removing a dish of baked food from an oven
../../datasets/Styles/style2/A man with a black and red life jacket water skiing.jpg,A man with a black and red life jacket water skiing
"../../datasets/Styles/style2/A polar bear lies in snow, legs spread open.jpg","A polar bear lies in snow, legs spread open"
../../datasets/Styles/style2/There are several desserts on top of a small table.jpg,There are several desserts on top of a small table
../../datasets/Styles/style2/A woman sitting at a white table with a pastry.jpg,A woman sitting at a white table with a pastry
../../datasets/Styles/style2/A display of many stuffed animals and bears.jpg,A display of many stuffed animals and bears
../../datasets/Styles/style2/A group of elephants are walking away from water.jpg,A group of elephants are walking away from water
../../datasets/Styles/style2/Person riding on bike against oncoming truck traffic.jpg,Person riding on bike against oncoming truck traffic
../../datasets/Styles/style2/A group of people on a  ski slope at night together.jpg,A group of people on a  ski slope at night together
"../../datasets/Styles/style2/Two people wearing skis, starting down a ski slope.jpg","Two people wearing skis, starting down a ski slope"
"../../datasets/Styles/style2/A rustic, outdoor oven surrounded by pots and bowls.jpg","A rustic, outdoor oven surrounded by pots and bowls"
../../datasets/Styles/style2/four people in animal costumes standing with suitcases.jpg,four people in animal costumes standing with suitcases
../../datasets/Styles/style2/Up close photo of professionally dressed man outdoors.jpg,Up close photo of professionally dressed man outdoors
../../datasets/Styles/style2/A lamb that is eating from the grass.jpg,A lamb that is eating from the grass
../../datasets/Styles/style2/Group of old women sitting at a restaurant dinner table together.jpg,Group of old women sitting at a restaurant dinner table together
../../datasets/Styles/style2/A couple of remote controls on a couch arm.jpg,A couple of remote controls on a couch arm
../../datasets/Styles/style2/People looking at a baby giraffe in the zoo.jpg,People looking at a baby giraffe in the zoo
../../datasets/Styles/style2/TRAIN ON TRACKS AT NIGHT WITH LIGHTS ON.jpg,TRAIN ON TRACKS AT NIGHT WITH LIGHTS ON
../../datasets/Styles/style2/A man camping with two dogs eating a meal.jpg,A man camping with two dogs eating a meal
