image,text
../../datasets/FIDStyles/style3/A skier dressed in blue traveling down a snowy slope..jpg,A skier dressed in blue traveling down a snowy slope.
../../datasets/FIDStyles/style3/Boy in blue jersey throwing a baseball on field..jpg,Boy in blue jersey throwing a baseball on field.
../../datasets/FIDStyles/style3/A skateboarder performs a trick at a skate park..jpg,A skateboarder performs a trick at a skate park.
../../datasets/FIDStyles/style3/Woman sitting in kitchen in front of a cake..jpg,Woman sitting in kitchen in front of a cake.
../../datasets/FIDStyles/style3/Old photograph of baseball team posed on a set of steps.jpg,Old photograph of baseball team posed on a set of steps
../../datasets/FIDStyles/style3/A young bear nosing around the ground on a sunny day..jpg,A young bear nosing around the ground on a sunny day.
../../datasets/FIDStyles/style3/A man riding on top of a wave with a surfboard..jpg,A man riding on top of a wave with a surfboard.
../../datasets/FIDStyles/style3/The young kid is standing by the refrigerator..jpg,The young kid is standing by the refrigerator.
../../datasets/FIDStyles/style3/A lamb is standing near its resting mother in a grassy field..jpg,A lamb is standing near its resting mother in a grassy field.
../../datasets/FIDStyles/style3/A professional match of tennis players with a crowd.jpg,A professional match of tennis players with a crowd
../../datasets/FIDStyles/style3/The teen's lap is being shared by a laptop and a kitten..jpg,The teen's lap is being shared by a laptop and a kitten.
../../datasets/FIDStyles/style3/Many people walk on the sidewalk with umbrellas on the rainy day..jpg,Many people walk on the sidewalk with umbrellas on the rainy day.
../../datasets/FIDStyles/style3/a cluster of broke down buses at a station.jpg,a cluster of broke down buses at a station
"../../datasets/FIDStyles/style3/A close up of signs, one with a line through a car, and one reading 'keep driveway clear'..jpg","A close up of signs, one with a line through a car, and one reading 'keep driveway clear'."
../../datasets/FIDStyles/style3/A fur covered animal wearing sunglasses and a handkerchief..jpg,A fur covered animal wearing sunglasses and a handkerchief.
../../datasets/FIDStyles/style3/Toilet and sink in tiled unfinished bathroom with large mirror..jpg,Toilet and sink in tiled unfinished bathroom with large mirror.
../../datasets/FIDStyles/style3/A man with backpack skiing down a hillside..jpg,A man with backpack skiing down a hillside.
../../datasets/FIDStyles/style3/A pier has many boats parked in it..jpg,A pier has many boats parked in it.
../../datasets/FIDStyles/style3/A small girl wearing a white hat holds a stuffed doll.jpg,A small girl wearing a white hat holds a stuffed doll
../../datasets/FIDStyles/style3/The baseball player is taking his equipment back to the office..jpg,The baseball player is taking his equipment back to the office.
../../datasets/FIDStyles/style3/A dog laying at a person's feet chewing on a bottle of water..jpg,A dog laying at a person's feet chewing on a bottle of water.
../../datasets/FIDStyles/style3/A group of men playing baseball in a field..jpg,A group of men playing baseball in a field.
../../datasets/FIDStyles/style3/A person on some skis in the snow..jpg,A person on some skis in the snow.
../../datasets/FIDStyles/style3/A plate full of spinach salad with dressing.jpg,A plate full of spinach salad with dressing
../../datasets/FIDStyles/style3/These are two street signs on a city street..jpg,These are two street signs on a city street.
../../datasets/FIDStyles/style3/a blue and black cargo train with doors open.jpg,a blue and black cargo train with doors open
../../datasets/FIDStyles/style3/A tiger cat sitting on top of a piece of luggage..jpg,A tiger cat sitting on top of a piece of luggage.
../../datasets/FIDStyles/style3/A bunch of skiers with the same team uniforms seem to be waiting in line..jpg,A bunch of skiers with the same team uniforms seem to be waiting in line.
../../datasets/FIDStyles/style3/a man is surfing in the ocean at day.jpg,a man is surfing in the ocean at day
../../datasets/FIDStyles/style3/Three a large teddy bears sitting up next to each other..jpg,Three a large teddy bears sitting up next to each other.
../../datasets/FIDStyles/style3/A brown bear laying on a rock with its tongue sticking out.jpg,A brown bear laying on a rock with its tongue sticking out
../../datasets/FIDStyles/style3/one personis in the water the other person is surfing.jpg,one personis in the water the other person is surfing
../../datasets/FIDStyles/style3/A person on a surf board surfing in the ocean..jpg,A person on a surf board surfing in the ocean.
../../datasets/FIDStyles/style3/The large body aircraft is setting on the tarmac..jpg,The large body aircraft is setting on the tarmac.
../../datasets/FIDStyles/style3/a woman with a remote playing video game.jpg,a woman with a remote playing video game
../../datasets/FIDStyles/style3/a close up of a skate board on a wooden surface.jpg,a close up of a skate board on a wooden surface
../../datasets/FIDStyles/style3/A man is next to a bicycle and bike path signs..jpg,A man is next to a bicycle and bike path signs.
../../datasets/FIDStyles/style3/A housing sign is hanging on a telephone pole alongside a road..jpg,A housing sign is hanging on a telephone pole alongside a road.
../../datasets/FIDStyles/style3/A roasted turkey with vegetables is on a platter..jpg,A roasted turkey with vegetables is on a platter.
../../datasets/FIDStyles/style3/A sandwich with melted cheese by carrots and grapes..jpg,A sandwich with melted cheese by carrots and grapes.
../../datasets/FIDStyles/style3/there are many people boarding a large plane.jpg,there are many people boarding a large plane
../../datasets/FIDStyles/style3/A single elephant walking in a field with many bushes..jpg,A single elephant walking in a field with many bushes.
../../datasets/FIDStyles/style3/A bathroom area with peeling paint has a toilet in it and a small oblong window..jpg,A bathroom area with peeling paint has a toilet in it and a small oblong window.
../../datasets/FIDStyles/style3/A group of giraffe walking through a dry area.jpg,A group of giraffe walking through a dry area
../../datasets/FIDStyles/style3/a red double decker bus on the road near an intersecton.jpg,a red double decker bus on the road near an intersecton
../../datasets/FIDStyles/style3/A man with a wet suit on surfing on a wave..jpg,A man with a wet suit on surfing on a wave.
../../datasets/FIDStyles/style3/there are two men on a field playing frisbee.jpg,there are two men on a field playing frisbee
../../datasets/FIDStyles/style3/A woman and two boys seated for a meal at a patio umbrella table..jpg,A woman and two boys seated for a meal at a patio umbrella table.
../../datasets/FIDStyles/style3/A person attempting to cook on a grill in the rain..jpg,A person attempting to cook on a grill in the rain.
../../datasets/FIDStyles/style3/A woman in a green shirt holding a bunch of banana stems..jpg,A woman in a green shirt holding a bunch of banana stems.
../../datasets/FIDStyles/style3/A young boy lighting candles on a very large green cake..jpg,A young boy lighting candles on a very large green cake.
../../datasets/FIDStyles/style3/A dog lifting up the curtains with it's head to get a look out the window..jpg,A dog lifting up the curtains with it's head to get a look out the window.
../../datasets/FIDStyles/style3/A view of a side street with signs and a fire hydrant..jpg,A view of a side street with signs and a fire hydrant.
../../datasets/FIDStyles/style3/A boy and a girl playing with the wii while an older woman and another child watch..jpg,A boy and a girl playing with the wii while an older woman and another child watch.
../../datasets/FIDStyles/style3/A bowl of oatmeal on a tray with utensils and sauces..jpg,A bowl of oatmeal on a tray with utensils and sauces.
../../datasets/FIDStyles/style3/A guy wearing a yellow coat and orange goggles on a ski slope..jpg,A guy wearing a yellow coat and orange goggles on a ski slope.
../../datasets/FIDStyles/style3/A cat laying on top of an open laptop..jpg,A cat laying on top of an open laptop.
../../datasets/FIDStyles/style3/Lots of kites fly above a beach area in the blue sky..jpg,Lots of kites fly above a beach area in the blue sky.
../../datasets/FIDStyles/style3/A couple of men exchanging a high five on a tennis court..jpg,A couple of men exchanging a high five on a tennis court.
../../datasets/FIDStyles/style3/View of a road barrier on an empty street..jpg,View of a road barrier on an empty street.
../../datasets/FIDStyles/style3/Two men sit in chairs and at a conference room..jpg,Two men sit in chairs and at a conference room.
../../datasets/FIDStyles/style3/Person on surfboard riding a wave while two other surfers float on the water..jpg,Person on surfboard riding a wave while two other surfers float on the water.
../../datasets/FIDStyles/style3/Woman holding a laptop on a chair on patio.jpg,Woman holding a laptop on a chair on patio
../../datasets/FIDStyles/style3/A giraffe extends its tongue for food on a tree.jpg,A giraffe extends its tongue for food on a tree
../../datasets/FIDStyles/style3/Stop sign with street signs at a parkway intersection..jpg,Stop sign with street signs at a parkway intersection.
../../datasets/FIDStyles/style3/A sandwich cut in two sits on a white plate with a salad and chips..jpg,A sandwich cut in two sits on a white plate with a salad and chips.
../../datasets/FIDStyles/style3/A man grabs a helmet and straddles a motorcycle..jpg,A man grabs a helmet and straddles a motorcycle.
../../datasets/FIDStyles/style3/A white and red chicken standing on a pile of debris in a coup..jpg,A white and red chicken standing on a pile of debris in a coup.
../../datasets/FIDStyles/style3/A woman carrying a surfboard out into the ocean..jpg,A woman carrying a surfboard out into the ocean.
../../datasets/FIDStyles/style3/A CIRCUS ELEPHANT MARCHING IN A PARADE WITH CONDUCTOR.jpg,A CIRCUS ELEPHANT MARCHING IN A PARADE WITH CONDUCTOR
"../../datasets/FIDStyles/style3/Fresh pizza, delicious fresh pizza right out of the pizza oven..jpg","Fresh pizza, delicious fresh pizza right out of the pizza oven."
../../datasets/FIDStyles/style3/A giraffe walking along a grassy plain by some hills..jpg,A giraffe walking along a grassy plain by some hills.
../../datasets/FIDStyles/style3/A small personal pizza plated on a large plate.jpg,A small personal pizza plated on a large plate
../../datasets/FIDStyles/style3/A large open kitchen with a wood floor..jpg,A large open kitchen with a wood floor.
../../datasets/FIDStyles/style3/A man in an old baseball uniform hits a baseball..jpg,A man in an old baseball uniform hits a baseball.
../../datasets/FIDStyles/style3/An electronic parking meter stands next to a street with parked cars on a wet day..jpg,An electronic parking meter stands next to a street with parked cars on a wet day.
../../datasets/FIDStyles/style3/A bride and groom posing for a picture..jpg,A bride and groom posing for a picture.
../../datasets/FIDStyles/style3/A bear roaming in a park somewhere during the day..jpg,A bear roaming in a park somewhere during the day.
../../datasets/FIDStyles/style3/A man in grey shirt pumping fist and holding tennis racket..jpg,A man in grey shirt pumping fist and holding tennis racket.
../../datasets/FIDStyles/style3/A large bed with a white blanket sitting next to a window..jpg,A large bed with a white blanket sitting next to a window.
../../datasets/FIDStyles/style3/A card showing the right position to ride a horse..jpg,A card showing the right position to ride a horse.
../../datasets/FIDStyles/style3/A couple of hot dogs that are sitting on a table..jpg,A couple of hot dogs that are sitting on a table.
../../datasets/FIDStyles/style3/A plate topped with lots of carrots next to a cup of carrots..jpg,A plate topped with lots of carrots next to a cup of carrots.
../../datasets/FIDStyles/style3/this room has a bed along with a dining room table.jpg,this room has a bed along with a dining room table
../../datasets/FIDStyles/style3/Passengers standing in line at commercial transit center..jpg,Passengers standing in line at commercial transit center.
../../datasets/FIDStyles/style3/A group of people watch two motorcyclists ride down a street..jpg,A group of people watch two motorcyclists ride down a street.
../../datasets/FIDStyles/style3/A man plays an organ in an historic photo..jpg,A man plays an organ in an historic photo.
../../datasets/FIDStyles/style3/a fast moving passenger train moving down the track.jpg,a fast moving passenger train moving down the track
../../datasets/FIDStyles/style3/a male tennis player in a black shirt is playing tennis.jpg,a male tennis player in a black shirt is playing tennis
../../datasets/FIDStyles/style3/Four people with a birthday cake on a table..jpg,Four people with a birthday cake on a table.
../../datasets/FIDStyles/style3/Two tall giraffe standing in a lush green and dirt brown field..jpg,Two tall giraffe standing in a lush green and dirt brown field.
../../datasets/FIDStyles/style3/A person with a large hot dog in their hands..jpg,A person with a large hot dog in their hands.
../../datasets/FIDStyles/style3/The contents of a woman's purse on the table..jpg,The contents of a woman's purse on the table.
../../datasets/FIDStyles/style3/Clean kitchen with wooden cabinets and white appliances..jpg,Clean kitchen with wooden cabinets and white appliances.
../../datasets/FIDStyles/style3/A man with a surfboard wades into the foam..jpg,A man with a surfboard wades into the foam.
../../datasets/FIDStyles/style3/A brown and white dog laying on grassy field..jpg,A brown and white dog laying on grassy field.
../../datasets/FIDStyles/style3/A man carrying a surfboard on a wet beach..jpg,A man carrying a surfboard on a wet beach.
../../datasets/FIDStyles/style3/a picture of different kinds of suites and shoes.jpg,a picture of different kinds of suites and shoes
../../datasets/FIDStyles/style3/A little boy at the beach carrying a boogie board..jpg,A little boy at the beach carrying a boogie board.
../../datasets/FIDStyles/style3/A man climbing  snowy slope with ski gear.jpg,A man climbing  snowy slope with ski gear
../../datasets/FIDStyles/style3/an image of a set of chairs with clocks attached to them.jpg,an image of a set of chairs with clocks attached to them
../../datasets/FIDStyles/style3/A boy sitting on the toilet in the bathroom..jpg,A boy sitting on the toilet in the bathroom.
../../datasets/FIDStyles/style3/there is a bus that has stopped near the side walk.jpg,there is a bus that has stopped near the side walk
../../datasets/FIDStyles/style3/A baseball player for the Cardinals is getting ready to take a swing..jpg,A baseball player for the Cardinals is getting ready to take a swing.
../../datasets/FIDStyles/style3/a guy on a horse that looks like a cowboy..jpg,a guy on a horse that looks like a cowboy.
../../datasets/FIDStyles/style3/A dog and cow are in the middle of a street..jpg,A dog and cow are in the middle of a street.
../../datasets/FIDStyles/style3/A brown and black cat sitting on driveway next to a white car..jpg,A brown and black cat sitting on driveway next to a white car.
../../datasets/FIDStyles/style3/a few people that are surfing in some water.jpg,a few people that are surfing in some water
../../datasets/FIDStyles/style3/A  group of people standing in muddy water.jpg,A  group of people standing in muddy water
../../datasets/FIDStyles/style3/a woman sitting at a table with a plate of food and a glass of water.jpg,a woman sitting at a table with a plate of food and a glass of water
../../datasets/FIDStyles/style3/A stainless steel refrigerator in a kitchen..jpg,A stainless steel refrigerator in a kitchen.
../../datasets/FIDStyles/style3/lady wearing red top and black shorts playing tennis.jpg,lady wearing red top and black shorts playing tennis
../../datasets/FIDStyles/style3/A group of sheep sitting with blood on the fur.jpg,A group of sheep sitting with blood on the fur
../../datasets/FIDStyles/style3/A couple of giraffe standing on a dirt road..jpg,A couple of giraffe standing on a dirt road.
../../datasets/FIDStyles/style3/Children riding a large elephant in an arena..jpg,Children riding a large elephant in an arena.
../../datasets/FIDStyles/style3/a close up of a bird on the beach near the water.jpg,a close up of a bird on the beach near the water
../../datasets/FIDStyles/style3/A small bed is tucked into a corner..jpg,A small bed is tucked into a corner.
../../datasets/FIDStyles/style3/Woman with small household appliance giving her approval..jpg,Woman with small household appliance giving her approval.
../../datasets/FIDStyles/style3/A travel pass with oriental writing sitting on a table..jpg,A travel pass with oriental writing sitting on a table.
../../datasets/FIDStyles/style3/The man is playing ball in the park.jpg,The man is playing ball in the park
../../datasets/FIDStyles/style3/a black fire hydrant partially buried  by the dirt.jpg,a black fire hydrant partially buried  by the dirt
../../datasets/FIDStyles/style3/A toy that looks like a decorated banana leans on a cat..jpg,A toy that looks like a decorated banana leans on a cat.
../../datasets/FIDStyles/style3/A ripe banana sitting on top of a table..jpg,A ripe banana sitting on top of a table.
"../../datasets/FIDStyles/style3/A plate full of ground meat , rice and vegetables.jpg","A plate full of ground meat , rice and vegetables"
"../../datasets/FIDStyles/style3/A supreme thin crust pizza with tomatoes, green peppers, broccoli, etc..jpg","A supreme thin crust pizza with tomatoes, green peppers, broccoli, etc."
../../datasets/FIDStyles/style3/a living room with a couch a table and pillows.jpg,a living room with a couch a table and pillows
../../datasets/FIDStyles/style3/This blue decorated bathroom contains a toilet and a bathtub..jpg,This blue decorated bathroom contains a toilet and a bathtub.
../../datasets/FIDStyles/style3/A person standing on a green field flying a kite..jpg,A person standing on a green field flying a kite.
../../datasets/FIDStyles/style3/The traffic light on this street is on red..jpg,The traffic light on this street is on red.
../../datasets/FIDStyles/style3/Woman leans over as she serve the tennis ball back to the other side.jpg,Woman leans over as she serve the tennis ball back to the other side
../../datasets/FIDStyles/style3/A group of people sitting around a living room together..jpg,A group of people sitting around a living room together.
../../datasets/FIDStyles/style3/White bus on an empty tree lined street.jpg,White bus on an empty tree lined street
../../datasets/FIDStyles/style3/A person in a wheelchair with three small dogs looks at a fenced in horse..jpg,A person in a wheelchair with three small dogs looks at a fenced in horse.
../../datasets/FIDStyles/style3/A man in a suit poses for a still photograph..jpg,A man in a suit poses for a still photograph.
../../datasets/FIDStyles/style3/A chocolate cake is being cut into smaller pieces..jpg,A chocolate cake is being cut into smaller pieces.
../../datasets/FIDStyles/style3/A white polar bear laying on top of a rock..jpg,A white polar bear laying on top of a rock.
../../datasets/FIDStyles/style3/A cow is standing in side of a pen in a building..jpg,A cow is standing in side of a pen in a building.
../../datasets/FIDStyles/style3/A couch in a room that is having a hard wood flour installed..jpg,A couch in a room that is having a hard wood flour installed.
../../datasets/FIDStyles/style3/A white bathroom with beige tile on the floor..jpg,A white bathroom with beige tile on the floor.
../../datasets/FIDStyles/style3/a train stopped at a train station with its doors open.jpg,a train stopped at a train station with its doors open
../../datasets/FIDStyles/style3/A brown cow on a lush green hill..jpg,A brown cow on a lush green hill.
../../datasets/FIDStyles/style3/A bus and a truck side by side on a city street..jpg,A bus and a truck side by side on a city street.
"../../datasets/FIDStyles/style3/Shrimp, broccoli, carrots, shrimp and cheese are being cooked in a skillet..jpg","Shrimp, broccoli, carrots, shrimp and cheese are being cooked in a skillet."
../../datasets/FIDStyles/style3/a cat sitting with a person on a couch..jpg,a cat sitting with a person on a couch.
../../datasets/FIDStyles/style3/A stone building has a large lit clock on the side..jpg,A stone building has a large lit clock on the side.
../../datasets/FIDStyles/style3/A guy surfing a moderate wave in the ocean.jpg,A guy surfing a moderate wave in the ocean
../../datasets/FIDStyles/style3/Two girls and an older woman serving food at a patriotic event..jpg,Two girls and an older woman serving food at a patriotic event.
../../datasets/FIDStyles/style3/the woman is riding past a building that has a white door.jpg,the woman is riding past a building that has a white door
../../datasets/FIDStyles/style3/A lone skier with ski poles wearing goggles..jpg,A lone skier with ski poles wearing goggles.
