image,text
../../datasets/FIDStyles/style0/Double doors open into a bathroom with a footed tub..jpg,Double doors open into a bathroom with a footed tub.
../../datasets/FIDStyles/style0/Closeup of the head of a white cow on road..jpg,Closeup of the head of a white cow on road.
../../datasets/FIDStyles/style0/A dog sleeping in front of a  small alter.jpg,A dog sleeping in front of a  small alter
../../datasets/FIDStyles/style0/a person in a body of water with a parachute.jpg,a person in a body of water with a parachute
../../datasets/FIDStyles/style0/A peeled banana sitting in between car seats..jpg,A peeled banana sitting in between car seats.
../../datasets/FIDStyles/style0/A parked motor bike next to a garage door..jpg,A parked motor bike next to a garage door.
../../datasets/FIDStyles/style0/A person on a snowboard with a snowy ground beneath him..jpg,A person on a snowboard with a snowy ground beneath him.
../../datasets/FIDStyles/style0/A little girl in a pink dress holding a teddy bear with a cat on her shoulder..jpg,A little girl in a pink dress holding a teddy bear with a cat on her shoulder.
../../datasets/FIDStyles/style0/The tan teddy bear with the red sweater sits on the library floor..jpg,The tan teddy bear with the red sweater sits on the library floor.
../../datasets/FIDStyles/style0/A white airplane flying in the blue sky..jpg,A white airplane flying in the blue sky.
../../datasets/FIDStyles/style0/An old photo of people outside Flinders Street Station..jpg,An old photo of people outside Flinders Street Station.
../../datasets/FIDStyles/style0/a man is pulling a couple of bags down the street.jpg,a man is pulling a couple of bags down the street
../../datasets/FIDStyles/style0/A man standing in the doorway of a train car..jpg,A man standing in the doorway of a train car.
../../datasets/FIDStyles/style0/a white five star bus riding down the street.jpg,a white five star bus riding down the street
../../datasets/FIDStyles/style0/The people are waiting for the train to get there..jpg,The people are waiting for the train to get there.
../../datasets/FIDStyles/style0/A herd of giraffes grazing the tree tops on the savannah..jpg,A herd of giraffes grazing the tree tops on the savannah.
../../datasets/FIDStyles/style0/a male in a blue shirt is at a skateboard park.jpg,a male in a blue shirt is at a skateboard park
../../datasets/FIDStyles/style0/Professional baseball players making a play on base..jpg,Professional baseball players making a play on base.
../../datasets/FIDStyles/style0/Man on a surfboard under a large wave.jpg,Man on a surfboard under a large wave
../../datasets/FIDStyles/style0/Large air force plane parked out on the runway.jpg,Large air force plane parked out on the runway
../../datasets/FIDStyles/style0/A group of people standing on top of a lush green field flying kites..jpg,A group of people standing on top of a lush green field flying kites.
../../datasets/FIDStyles/style0/A man and a elephant that are standing in the dirt..jpg,A man and a elephant that are standing in the dirt.
../../datasets/FIDStyles/style0/A little girl hides from the rain under a huge umbrella..jpg,A little girl hides from the rain under a huge umbrella.
../../datasets/FIDStyles/style0/a close up of a cake already cut in slices.jpg,a close up of a cake already cut in slices
../../datasets/FIDStyles/style0/there is a bowl of oranges on a table.jpg,there is a bowl of oranges on a table
../../datasets/FIDStyles/style0/A few benches that are near a tree and in front of water..jpg,A few benches that are near a tree and in front of water.
../../datasets/FIDStyles/style0/Four people are drinking wine outside at a restaurant..jpg,Four people are drinking wine outside at a restaurant.
../../datasets/FIDStyles/style0/A young woman wearing a clown nose sits in a park with friends.jpg,A young woman wearing a clown nose sits in a park with friends
../../datasets/FIDStyles/style0/A red bus driving down a city street..jpg,A red bus driving down a city street.
../../datasets/FIDStyles/style0/a man with a big yellow scarf standing in the road.jpg,a man with a big yellow scarf standing in the road
../../datasets/FIDStyles/style0/A sandwich sitting on top of a white plate on top of a table..jpg,A sandwich sitting on top of a white plate on top of a table.
../../datasets/FIDStyles/style0/A person sitting with their feet up with an open umbrella..jpg,A person sitting with their feet up with an open umbrella.
../../datasets/FIDStyles/style0/A woman in a blue wet suit water skiing.jpg,A woman in a blue wet suit water skiing
../../datasets/FIDStyles/style0/A person on a bike on a city street..jpg,A person on a bike on a city street.
../../datasets/FIDStyles/style0/A white lawn chair laying on top of a sandy beach..jpg,A white lawn chair laying on top of a sandy beach.
../../datasets/FIDStyles/style0/A kid is surfing on a wave at the beach.jpg,A kid is surfing on a wave at the beach
../../datasets/FIDStyles/style0/Batter twisted up after taking a swing at the incoming baseball.jpg,Batter twisted up after taking a swing at the incoming baseball
../../datasets/FIDStyles/style0/An elephant standing at a dense forest area.jpg,An elephant standing at a dense forest area
../../datasets/FIDStyles/style0/Someone in the air with a snowboard fresh off a ramp..jpg,Someone in the air with a snowboard fresh off a ramp.
../../datasets/FIDStyles/style0/A man's feet are off the ground with a shadow of a tennis racquet..jpg,A man's feet are off the ground with a shadow of a tennis racquet.
../../datasets/FIDStyles/style0/A group of people well dressed standing around a kitchen with lots of food..jpg,A group of people well dressed standing around a kitchen with lots of food.
../../datasets/FIDStyles/style0/A white toilet sitting next to a shower and a sink..jpg,A white toilet sitting next to a shower and a sink.
../../datasets/FIDStyles/style0/A two-story tour bus is parked on the side of the road..jpg,A two-story tour bus is parked on the side of the road.
../../datasets/FIDStyles/style0/A large white polar bear swimming under blue water..jpg,A large white polar bear swimming under blue water.
../../datasets/FIDStyles/style0/Two cows standing on a sandy area while eating blades of grass..jpg,Two cows standing on a sandy area while eating blades of grass.
../../datasets/FIDStyles/style0/A male tennis player playing tennis on a court..jpg,A male tennis player playing tennis on a court.
../../datasets/FIDStyles/style0/A group of wild animals standing on top of a grass covered field..jpg,A group of wild animals standing on top of a grass covered field.
../../datasets/FIDStyles/style0/A long yellow and green boat stopped harbored at the bay..jpg,A long yellow and green boat stopped harbored at the bay.
../../datasets/FIDStyles/style0/A pizza sits on a wooden platform..jpg,A pizza sits on a wooden platform.
../../datasets/FIDStyles/style0/A man on a skateboard performs a trick for the camera..jpg,A man on a skateboard performs a trick for the camera.
../../datasets/FIDStyles/style0/an elephant standing next to a stone wall.jpg,an elephant standing next to a stone wall
../../datasets/FIDStyles/style0/There are many seagulls standing on the ledge over water.jpg,There are many seagulls standing on the ledge over water
"../../datasets/FIDStyles/style0/a bus pauses at an intersection as a truck passes through it, beneath a street light..jpg","a bus pauses at an intersection as a truck passes through it, beneath a street light."
../../datasets/FIDStyles/style0/A young person who is playing a cello in a room..jpg,A young person who is playing a cello in a room.
../../datasets/FIDStyles/style0/a man is wearing a green and white tie.jpg,a man is wearing a green and white tie
../../datasets/FIDStyles/style0/A dog sits on his hind legs and wears a tie..jpg,A dog sits on his hind legs and wears a tie.
../../datasets/FIDStyles/style0/A dog on the grass holding a frisbee..jpg,A dog on the grass holding a frisbee.
../../datasets/FIDStyles/style0/An array of pastries sit in a storefront window..jpg,An array of pastries sit in a storefront window.
../../datasets/FIDStyles/style0/A man doing tricks on a skateboard in front of a graffiti wall..jpg,A man doing tricks on a skateboard in front of a graffiti wall.
"../../datasets/FIDStyles/style0/Blue kite with red tail stuck in white flowered trees, overcast sky..jpg","Blue kite with red tail stuck in white flowered trees, overcast sky."
../../datasets/FIDStyles/style0/a male surfer is standing in the ocean.jpg,a male surfer is standing in the ocean
../../datasets/FIDStyles/style0/A ghost sleeping on top of a large white flowery bed..jpg,A ghost sleeping on top of a large white flowery bed.
../../datasets/FIDStyles/style0/Five people holding the knife above a cake while one woman sits to the side..jpg,Five people holding the knife above a cake while one woman sits to the side.
../../datasets/FIDStyles/style0/two men riding horses on a street next to some trees.jpg,two men riding horses on a street next to some trees
../../datasets/FIDStyles/style0/A group of people standing around a large bench..jpg,A group of people standing around a large bench.
../../datasets/FIDStyles/style0/a woman's legs lying over the side of a bed.jpg,a woman's legs lying over the side of a bed
../../datasets/FIDStyles/style0/A young boy hitting a tennis ball with a tennis racket..jpg,A young boy hitting a tennis ball with a tennis racket.
../../datasets/FIDStyles/style0/Two young skiiers maker their way down the snowy slope..jpg,Two young skiiers maker their way down the snowy slope.
../../datasets/FIDStyles/style0/A picture of a white Wii remote control..jpg,A picture of a white Wii remote control.
../../datasets/FIDStyles/style0/The front entrance of an empty terminal with a large clock on the wall..jpg,The front entrance of an empty terminal with a large clock on the wall.
../../datasets/FIDStyles/style0/Three bananas with a orange with a yellow background..jpg,Three bananas with a orange with a yellow background.
../../datasets/FIDStyles/style0/A black bear is resting in the grass..jpg,A black bear is resting in the grass.
../../datasets/FIDStyles/style0/A double decker bus travelling on a street pass a building..jpg,A double decker bus travelling on a street pass a building.
"../../datasets/FIDStyles/style0/A lone kite flies in dark, stormy skies..jpg","A lone kite flies in dark, stormy skies."
../../datasets/FIDStyles/style0/A person makes a ski jump off a hill while other skiers look on..jpg,A person makes a ski jump off a hill while other skiers look on.
../../datasets/FIDStyles/style0/Two laptop computers are on a wooden table..jpg,Two laptop computers are on a wooden table.
../../datasets/FIDStyles/style0/A red wall with a clock and two windows next to it.jpg,A red wall with a clock and two windows next to it
../../datasets/FIDStyles/style0/a star balloon with a happy face in the sky.jpg,a star balloon with a happy face in the sky
../../datasets/FIDStyles/style0/A very cute stuffed animal with a bunch of items..jpg,A very cute stuffed animal with a bunch of items.
../../datasets/FIDStyles/style0/a giant transport truck without a cargo attachment.jpg,a giant transport truck without a cargo attachment
../../datasets/FIDStyles/style0/One large and two small ovens in a kitchen..jpg,One large and two small ovens in a kitchen.
../../datasets/FIDStyles/style0/A row of boats on water with sky in background..jpg,A row of boats on water with sky in background.
../../datasets/FIDStyles/style0/People riding a motorcycle and a bicycle riding down the street..jpg,People riding a motorcycle and a bicycle riding down the street.
"../../datasets/FIDStyles/style0/A bathroom that is in disrepair, and the sinks are on the ground..jpg","A bathroom that is in disrepair, and the sinks are on the ground."
../../datasets/FIDStyles/style0/A man sitting on top of a picnic table with a dog..jpg,A man sitting on top of a picnic table with a dog.
../../datasets/FIDStyles/style0/A meatball sandwich cut in half on a plate next to bowl of dipping sauce..jpg,A meatball sandwich cut in half on a plate next to bowl of dipping sauce.
../../datasets/FIDStyles/style0/A man rushing to the net in order to return a tennis ball..jpg,A man rushing to the net in order to return a tennis ball.
../../datasets/FIDStyles/style0/Several people standing around a table full of beer bottles..jpg,Several people standing around a table full of beer bottles.
"../../datasets/FIDStyles/style0/A sign reads ""Wonder View Drive"" on top of a stop sign..jpg","A sign reads ""Wonder View Drive"" on top of a stop sign."
../../datasets/FIDStyles/style0/There is a tunnel with a sign before you go in it.jpg,There is a tunnel with a sign before you go in it
../../datasets/FIDStyles/style0/A zebra is looking at and smelling the dirt..jpg,A zebra is looking at and smelling the dirt.
../../datasets/FIDStyles/style0/A woman with her arm around a young girl in a baseball uniform..jpg,A woman with her arm around a young girl in a baseball uniform.
../../datasets/FIDStyles/style0/A shiny metal oven and microwave with some wooden cabinets..jpg,A shiny metal oven and microwave with some wooden cabinets.
../../datasets/FIDStyles/style0/frog with teeth sitting on a toothbrush with reminders.jpg,frog with teeth sitting on a toothbrush with reminders
../../datasets/FIDStyles/style0/A building with a bunch of bananas hanging from it's ceiling next to a bell..jpg,A building with a bunch of bananas hanging from it's ceiling next to a bell.
../../datasets/FIDStyles/style0/Objects neatly aligned on the floor in rows..jpg,Objects neatly aligned on the floor in rows.
../../datasets/FIDStyles/style0/A boy on a wakeboard making a jump and holding the boat leash..jpg,A boy on a wakeboard making a jump and holding the boat leash.
../../datasets/FIDStyles/style0/a sheep dog watching a group of sheep in a field.jpg,a sheep dog watching a group of sheep in a field
../../datasets/FIDStyles/style0/a couple of kids are sitting in a room.jpg,a couple of kids are sitting in a room
../../datasets/FIDStyles/style0/A slice of cake sitting on top of a paper container..jpg,A slice of cake sitting on top of a paper container.
../../datasets/FIDStyles/style0/Women doing sudoku with her cat on her shoulder..jpg,Women doing sudoku with her cat on her shoulder.
"../../datasets/FIDStyles/style0/Small, quaint and clean bathroom with soft toned colors.jpg","Small, quaint and clean bathroom with soft toned colors"
../../datasets/FIDStyles/style0/A group of people sitting on a couch playing video games..jpg,A group of people sitting on a couch playing video games.
../../datasets/FIDStyles/style0/A women pouring some wine into a wine glass..jpg,A women pouring some wine into a wine glass.
../../datasets/FIDStyles/style0/A woman dressed in black walking beneath an umbrella in the rain..jpg,A woman dressed in black walking beneath an umbrella in the rain.
../../datasets/FIDStyles/style0/The two cows are fenced in the field..jpg,The two cows are fenced in the field.
../../datasets/FIDStyles/style0/A police officer talking to a woman on a sidewalk..jpg,A police officer talking to a woman on a sidewalk.
../../datasets/FIDStyles/style0/A stop sign near a Star Bucks Coffee Shop..jpg,A stop sign near a Star Bucks Coffee Shop.
../../datasets/FIDStyles/style0/some people at tables and laptops and lights.jpg,some people at tables and laptops and lights
../../datasets/FIDStyles/style0/A photo of someone's luggage on the sidewalk..jpg,A photo of someone's luggage on the sidewalk.
../../datasets/FIDStyles/style0/A man buttoning up a child's pants front of some doors..jpg,A man buttoning up a child's pants front of some doors.
../../datasets/FIDStyles/style0/a young man skiing down a ski slope.jpg,a young man skiing down a ski slope
../../datasets/FIDStyles/style0/A crowd of people standing around a giant elephant..jpg,A crowd of people standing around a giant elephant.
../../datasets/FIDStyles/style0/Birds lounge beside two zebras in the grass.jpg,Birds lounge beside two zebras in the grass
../../datasets/FIDStyles/style0/a woman holding a wine glass and a butterfly shaped cracker.jpg,a woman holding a wine glass and a butterfly shaped cracker
../../datasets/FIDStyles/style0/Professional baseball players giving each other a high five by the dugout.jpg,Professional baseball players giving each other a high five by the dugout
../../datasets/FIDStyles/style0/A man is skiing down a snow covered hill..jpg,A man is skiing down a snow covered hill.
../../datasets/FIDStyles/style0/A man is putting food into his mouth with his fingers..jpg,A man is putting food into his mouth with his fingers.
../../datasets/FIDStyles/style0/A surfer standing on his surfboard in the ocean catching a wave..jpg,A surfer standing on his surfboard in the ocean catching a wave.
../../datasets/FIDStyles/style0/A red dirt bike up on a stand.jpg,A red dirt bike up on a stand
../../datasets/FIDStyles/style0/A white dog wears a blue bow tie while attached on a pink leash..jpg,A white dog wears a blue bow tie while attached on a pink leash.
../../datasets/FIDStyles/style0/The front section of an Armed Forces jet is seen..jpg,The front section of an Armed Forces jet is seen.
../../datasets/FIDStyles/style0/a big white plate with some food on top of it.jpg,a big white plate with some food on top of it
../../datasets/FIDStyles/style0/A man laying on top of a couch next to a white cat..jpg,A man laying on top of a couch next to a white cat.
../../datasets/FIDStyles/style0/A traffic sign on a rusty rail near an ocean..jpg,A traffic sign on a rusty rail near an ocean.
../../datasets/FIDStyles/style0/A couch sitting on top of a wooden floor..jpg,A couch sitting on top of a wooden floor.
../../datasets/FIDStyles/style0/A train is coming down the tracks next to a field..jpg,A train is coming down the tracks next to a field.
../../datasets/FIDStyles/style0/Two men next to each other holding racquets..jpg,Two men next to each other holding racquets.
../../datasets/FIDStyles/style0/Some young people playing some softball on the beach at night..jpg,Some young people playing some softball on the beach at night.
../../datasets/FIDStyles/style0/A yellow and black fire hydrant next to dirt field..jpg,A yellow and black fire hydrant next to dirt field.
../../datasets/FIDStyles/style0/A fleet of orange cement mixer trucks at ease..jpg,A fleet of orange cement mixer trucks at ease.
../../datasets/FIDStyles/style0/A man in short pants a vest and tie standing in front of a white wall..jpg,A man in short pants a vest and tie standing in front of a white wall.
../../datasets/FIDStyles/style0/A young skier going down a snowy slope..jpg,A young skier going down a snowy slope.
../../datasets/FIDStyles/style0/small plane with long wings fly through the air.jpg,small plane with long wings fly through the air
../../datasets/FIDStyles/style0/Someone drawling in a big open building sitting in a chair..jpg,Someone drawling in a big open building sitting in a chair.
../../datasets/FIDStyles/style0/Who needs a carriage and horses when you have two dogs to pull you along on your skateboard?.jpg,Who needs a carriage and horses when you have two dogs to pull you along on your skateboard?
"../../datasets/FIDStyles/style0/Two baseball players with trophies, the mascot and a man in a suit walking together..jpg","Two baseball players with trophies, the mascot and a man in a suit walking together."
../../datasets/FIDStyles/style0/A man with glasses on his head talks on the phone.jpg,A man with glasses on his head talks on the phone
../../datasets/FIDStyles/style0/A living room with a television and a open door..jpg,A living room with a television and a open door.
../../datasets/FIDStyles/style0/a close up of two people talking on cell phones.jpg,a close up of two people talking on cell phones
"../../datasets/FIDStyles/style0/A wooden chair that has a black vase with two flower holders at the top, and two sets of flowers in the vase..jpg","A wooden chair that has a black vase with two flower holders at the top, and two sets of flowers in the vase."
../../datasets/FIDStyles/style0/Tennis players of opposing teams shake hands at the net on the court..jpg,Tennis players of opposing teams shake hands at the net on the court.
../../datasets/FIDStyles/style0/A white microwave oven with a radio active sticker on it..jpg,A white microwave oven with a radio active sticker on it.
../../datasets/FIDStyles/style0/An eldery woman with a baseball glove and a man standing around..jpg,An eldery woman with a baseball glove and a man standing around.
../../datasets/FIDStyles/style0/Group of animals walking around a watering hole..jpg,Group of animals walking around a watering hole.
../../datasets/FIDStyles/style0/Two people are looking at themselves in the mirror above the arrow..jpg,Two people are looking at themselves in the mirror above the arrow.
../../datasets/FIDStyles/style0/A new white keyboard and a mouse still in the box..jpg,A new white keyboard and a mouse still in the box.
../../datasets/FIDStyles/style0/Seagull flying above the ocean on a sunny day.jpg,Seagull flying above the ocean on a sunny day
../../datasets/FIDStyles/style0/The pick up truck is filled with fresh fruit in back of it..jpg,The pick up truck is filled with fresh fruit in back of it.
../../datasets/FIDStyles/style0/People carrying packages and bags approach a small airplane..jpg,People carrying packages and bags approach a small airplane.
../../datasets/FIDStyles/style0/A child sitting in a booth while he eats a piece of pizza that he is holding..jpg,A child sitting in a booth while he eats a piece of pizza that he is holding.
../../datasets/FIDStyles/style0/A boy swinging a baseball bat on a baseball diamond..jpg,A boy swinging a baseball bat on a baseball diamond.
../../datasets/FIDStyles/style0/an image of doubles match on the tennis court.jpg,an image of doubles match on the tennis court
../../datasets/FIDStyles/style0/A cake with a piece cut from it on a plate..jpg,A cake with a piece cut from it on a plate.
../../datasets/FIDStyles/style0/Young girl riding skate board with safety gear and playmates near by..jpg,Young girl riding skate board with safety gear and playmates near by.
../../datasets/FIDStyles/style0/a field that has some cows in it.jpg,a field that has some cows in it
../../datasets/FIDStyles/style0/A bed with a sign on it and sheets hanging on the rails..jpg,A bed with a sign on it and sheets hanging on the rails.
../../datasets/FIDStyles/style0/A man standing wearing a tie with a large clip at top..jpg,A man standing wearing a tie with a large clip at top.
../../datasets/FIDStyles/style0/A small green roofed building at an intersection.jpg,A small green roofed building at an intersection
../../datasets/FIDStyles/style0/A batter is taking a swing at a baseball with the catcher and umpire behind him..jpg,A batter is taking a swing at a baseball with the catcher and umpire behind him.
../../datasets/FIDStyles/style0/A bathroom has swinging saloon style stall doors.jpg,A bathroom has swinging saloon style stall doors
../../datasets/FIDStyles/style0/A  woman leaning over a desk with  a computer.jpg,A  woman leaning over a desk with  a computer
../../datasets/FIDStyles/style0/Two older ladies with their dressed up cow..jpg,Two older ladies with their dressed up cow.
../../datasets/FIDStyles/style0/Several kites flying through the sky on a clear day..jpg,Several kites flying through the sky on a clear day.
../../datasets/FIDStyles/style0/THERE IS A BENCH ON THE GRASS LAWN IN THE CORNER.jpg,THERE IS A BENCH ON THE GRASS LAWN IN THE CORNER
../../datasets/FIDStyles/style0/A person that is standing in the street with an umbrella..jpg,A person that is standing in the street with an umbrella.
../../datasets/FIDStyles/style0/A woman washes her hands at a bathroom sink..jpg,A woman washes her hands at a bathroom sink.
"../../datasets/FIDStyles/style0/A paper box with a sandwich, beans, and potatoes..jpg","A paper box with a sandwich, beans, and potatoes."
../../datasets/FIDStyles/style0/A baseball player swinging a bat into a ball..jpg,A baseball player swinging a bat into a ball.
../../datasets/FIDStyles/style0/The person has been skiing in the snow..jpg,The person has been skiing in the snow.
../../datasets/FIDStyles/style0/a little kid that is outside with a umbrella.jpg,a little kid that is outside with a umbrella
../../datasets/FIDStyles/style0/A man kiteboard over a river with foamy water..jpg,A man kiteboard over a river with foamy water.
../../datasets/FIDStyles/style0/a bunch of parked motor cycles are lined up with each other.jpg,a bunch of parked motor cycles are lined up with each other
../../datasets/FIDStyles/style0/A photo of a lighted lamp in a room..jpg,A photo of a lighted lamp in a room.
../../datasets/FIDStyles/style0/A skier dressed in blue traveling down a snowy slope..jpg,A skier dressed in blue traveling down a snowy slope.
../../datasets/FIDStyles/style0/People waiting for a subway train in a station..jpg,People waiting for a subway train in a station.
../../datasets/FIDStyles/style0/People walking around with one hold a little white umbrella..jpg,People walking around with one hold a little white umbrella.
../../datasets/FIDStyles/style0/Flooring in kitchen being replaced with wood floor..jpg,Flooring in kitchen being replaced with wood floor.
../../datasets/FIDStyles/style0/A cake with frosting has the number four on it..jpg,A cake with frosting has the number four on it.
../../datasets/FIDStyles/style0/A group of people on a ski slope..jpg,A group of people on a ski slope.
../../datasets/FIDStyles/style0/A woman riding a motorcycle down the road in front of cars..jpg,A woman riding a motorcycle down the road in front of cars.
../../datasets/FIDStyles/style0/A group of friends celebrate a birthday with a cake filled with lit candles..jpg,A group of friends celebrate a birthday with a cake filled with lit candles.
../../datasets/FIDStyles/style0/Boy in blue jersey throwing a baseball on field..jpg,Boy in blue jersey throwing a baseball on field.
../../datasets/FIDStyles/style0/A skateboarder performs a trick at a skate park..jpg,A skateboarder performs a trick at a skate park.
../../datasets/FIDStyles/style0/A skier and a snowboarder in the snow.jpg,A skier and a snowboarder in the snow
../../datasets/FIDStyles/style0/Woman sitting in kitchen in front of a cake..jpg,Woman sitting in kitchen in front of a cake.
../../datasets/FIDStyles/style0/A plane takes off on a runway in front of a lake.jpg,A plane takes off on a runway in front of a lake
../../datasets/FIDStyles/style0/A group of people sitting around a living room..jpg,A group of people sitting around a living room.
../../datasets/FIDStyles/style0/Fried broccoli sits on a plate on the counter..jpg,Fried broccoli sits on a plate on the counter.
../../datasets/FIDStyles/style0/Old photograph of baseball team posed on a set of steps.jpg,Old photograph of baseball team posed on a set of steps
../../datasets/FIDStyles/style0/A young bear nosing around the ground on a sunny day..jpg,A young bear nosing around the ground on a sunny day.
../../datasets/FIDStyles/style0/A man riding on top of a wave with a surfboard..jpg,A man riding on top of a wave with a surfboard.
../../datasets/FIDStyles/style0/A small plane hovers slightly above the ground after takeoff..jpg,A small plane hovers slightly above the ground after takeoff.
../../datasets/FIDStyles/style0/The young kid is standing by the refrigerator..jpg,The young kid is standing by the refrigerator.
../../datasets/FIDStyles/style0/A group of people going through a narrow road on scooters..jpg,A group of people going through a narrow road on scooters.
../../datasets/FIDStyles/style0/The giraffes are eating from the many tall trees..jpg,The giraffes are eating from the many tall trees.
../../datasets/FIDStyles/style0/A man in ski gear is standing out in the snow..jpg,A man in ski gear is standing out in the snow.
../../datasets/FIDStyles/style0/A lamb is standing near its resting mother in a grassy field..jpg,A lamb is standing near its resting mother in a grassy field.
../../datasets/FIDStyles/style0/A professional match of tennis players with a crowd.jpg,A professional match of tennis players with a crowd
../../datasets/FIDStyles/style0/The long sandwich has tomato slices and bacon on it..jpg,The long sandwich has tomato slices and bacon on it.
../../datasets/FIDStyles/style0/The teen's lap is being shared by a laptop and a kitten..jpg,The teen's lap is being shared by a laptop and a kitten.
../../datasets/FIDStyles/style0/Many people walk on the sidewalk with umbrellas on the rainy day..jpg,Many people walk on the sidewalk with umbrellas on the rainy day.
