image,text
"../../datasets/OldStyles/style5/A large, flat screen television mounted above a fireplace in a living room.jpg","A large, flat screen television mounted above a fireplace in a living room"
../../datasets/OldStyles/style5/An airplane is flying in a clear sky.jpg,An airplane is flying in a clear sky
../../datasets/OldStyles/style5/A man riding a snowboard on top of snow covered ground.jpg,A man riding a snowboard on top of snow covered ground
../../datasets/OldStyles/style5/A train traveling along a bridge next to tall buildings.jpg,A train traveling along a bridge next to tall buildings
../../datasets/OldStyles/style5/Three giraffes are standing in a brushy field.jpg,Three giraffes are standing in a brushy field
"../../datasets/OldStyles/style5/Two people, formally dressed, are smiling for the camera.jpg","Two people, formally dressed, are smiling for the camera"
../../datasets/OldStyles/style5/A group of tables under beach umbrellas next to water.jpg,A group of tables under beach umbrellas next to water
../../datasets/OldStyles/style5/a little kitty is playing in a shoe.jpg,a little kitty is playing in a shoe
../../datasets/OldStyles/style5/A couple of men riding on the backs of horses.jpg,A couple of men riding on the backs of horses
"../../datasets/OldStyles/style5/A very eye pleasing blue plate holding two hotdogs, baked beans, barbecue chips and a whole pickle.jpg","A very eye pleasing blue plate holding two hotdogs, baked beans, barbecue chips and a whole pickle"
../../datasets/OldStyles/style5/A man walking with a woman holding a white umbrella.jpg,A man walking with a woman holding a white umbrella
../../datasets/OldStyles/style5/A photo taken through a window with two mopeds on display.jpg,A photo taken through a window with two mopeds on display
../../datasets/OldStyles/style5/There is a case of soda with a case of Arctic Pops stacked on top of it.jpg,There is a case of soda with a case of Arctic Pops stacked on top of it
../../datasets/OldStyles/style5/A lady walking outside in the rain at night.jpg,A lady walking outside in the rain at night
../../datasets/OldStyles/style5/A small white dog is cocking his head.jpg,A small white dog is cocking his head
../../datasets/OldStyles/style5/a woman in a gray top is cooking outdoors.jpg,a woman in a gray top is cooking outdoors
"../../datasets/OldStyles/style5/A blue boat on the water, under a blue sky.jpg","A blue boat on the water, under a blue sky"
"../../datasets/OldStyles/style5/A plate with a meaty sandwich, a knife and pickles on it.jpg","A plate with a meaty sandwich, a knife and pickles on it"
../../datasets/OldStyles/style5/A large stir fry is cooking inside of a skillet.jpg,A large stir fry is cooking inside of a skillet
../../datasets/OldStyles/style5/Different plates of food sitting on top of a checkered table cloth.jpg,Different plates of food sitting on top of a checkered table cloth
../../datasets/OldStyles/style5/Large baked food item displayed on table in restaurant.jpg,Large baked food item displayed on table in restaurant
../../datasets/OldStyles/style5/Tennis game halted with players standing with referee.jpg,Tennis game halted with players standing with referee
../../datasets/OldStyles/style5/A girl petting an elephant's trunk in an enclosure.jpg,A girl petting an elephant's trunk in an enclosure
../../datasets/OldStyles/style5/A person in red and white body suit skiing down a slope.jpg,A person in red and white body suit skiing down a slope
../../datasets/OldStyles/style5/a close up of a cake on a plate on a table.jpg,a close up of a cake on a plate on a table
../../datasets/OldStyles/style5/A man in a red ghutra being interviewed on a television program.jpg,A man in a red ghutra being interviewed on a television program
../../datasets/OldStyles/style5/Two sandwiches sitting on a plate next to chips.jpg,Two sandwiches sitting on a plate next to chips
../../datasets/OldStyles/style5/An oddly shaped toilet and urinal in a public restroom.jpg,An oddly shaped toilet and urinal in a public restroom
../../datasets/OldStyles/style5/Someone reading a book a bed with 3 cats laying around them.jpg,Someone reading a book a bed with 3 cats laying around them
../../datasets/OldStyles/style5/A family is gathered around a square wooden dinner table.jpg,A family is gathered around a square wooden dinner table
../../datasets/OldStyles/style5/Two prepared food items with sauce on a dining plate.jpg,Two prepared food items with sauce on a dining plate
../../datasets/OldStyles/style5/Several people ride skateboards at a skateboarding park while clusters of people are on the sidelines.jpg,Several people ride skateboards at a skateboarding park while clusters of people are on the sidelines
../../datasets/OldStyles/style5/A British Airways airplane taking off into the sky.jpg,A British Airways airplane taking off into the sky
../../datasets/OldStyles/style5/Two people on motorcycles riding them on dirt.jpg,Two people on motorcycles riding them on dirt
../../datasets/OldStyles/style5/Two adorable dogs play tug of war with a yellow Frisbee.jpg,Two adorable dogs play tug of war with a yellow Frisbee
../../datasets/OldStyles/style5/Some controllers are laid on top of a desk.jpg,Some controllers are laid on top of a desk
../../datasets/OldStyles/style5/There are vehicles driving down the city street.jpg,There are vehicles driving down the city street
../../datasets/OldStyles/style5/A picture of a stove in a kitchen with a sign saying live well.jpg,A picture of a stove in a kitchen with a sign saying live well
../../datasets/OldStyles/style5/A young man playing a game of soccer with another young man.jpg,A young man playing a game of soccer with another young man
../../datasets/OldStyles/style5/A man wearing a tie and glasses smiling for the camera.jpg,A man wearing a tie and glasses smiling for the camera
../../datasets/OldStyles/style5/The player at bat has swung at the ball.jpg,The player at bat has swung at the ball
../../datasets/OldStyles/style5/Tennis player in the motion of her swinging her racket.jpg,Tennis player in the motion of her swinging her racket
../../datasets/OldStyles/style5/Four people and their buggies are being pulled by horses down a path.jpg,Four people and their buggies are being pulled by horses down a path
../../datasets/OldStyles/style5/A tennis player hitting the ball from a high point.jpg,A tennis player hitting the ball from a high point
../../datasets/OldStyles/style5/A shot of the intersection with N Beacon St and W Montrose AV.jpg,A shot of the intersection with N Beacon St and W Montrose AV
../../datasets/OldStyles/style5/Two motorcycles relax and await their owners return.jpg,Two motorcycles relax and await their owners return
../../datasets/OldStyles/style5/A crowd of people standing around a long table.jpg,A crowd of people standing around a long table
../../datasets/OldStyles/style5/Horses and cattle are seen in a field.jpg,Horses and cattle are seen in a field
../../datasets/OldStyles/style5/A woman is sitting on a toilet half naked holding a magazine.jpg,A woman is sitting on a toilet half naked holding a magazine
"../../datasets/OldStyles/style5/A view of a nursery, with toys everywhere.jpg","A view of a nursery, with toys everywhere"
../../datasets/OldStyles/style5/a stuffed teddy bear sits under neath an umbrella.jpg,a stuffed teddy bear sits under neath an umbrella
../../datasets/OldStyles/style5/An empty room with various pieces of colourful furniture.jpg,An empty room with various pieces of colourful furniture
../../datasets/OldStyles/style5/there is a woman skier standing on top of a hill.jpg,there is a woman skier standing on top of a hill
../../datasets/OldStyles/style5/a person on a wake board holding onto a parachute.jpg,a person on a wake board holding onto a parachute
../../datasets/OldStyles/style5/a small boat in a narrow body of water.jpg,a small boat in a narrow body of water
../../datasets/OldStyles/style5/A man with no shirt on is talking on the phone in the park.jpg,A man with no shirt on is talking on the phone in the park
../../datasets/OldStyles/style5/A blue and yellow train sitting in a train station.jpg,A blue and yellow train sitting in a train station
../../datasets/OldStyles/style5/A group of people standing in line on a city street.jpg,A group of people standing in line on a city street
../../datasets/OldStyles/style5/Male skateboarder grinds along a metal rail.jpg,Male skateboarder grinds along a metal rail
../../datasets/OldStyles/style5/A woman hands the bride and groom tissues.jpg,A woman hands the bride and groom tissues
../../datasets/OldStyles/style5/Bathroom shot of an open toilet and sink.jpg,Bathroom shot of an open toilet and sink
../../datasets/OldStyles/style5/Flowers in a bottle being used as a vase on a window sill.jpg,Flowers in a bottle being used as a vase on a window sill
../../datasets/OldStyles/style5/A tennis court with two people playing tennis.jpg,A tennis court with two people playing tennis
../../datasets/OldStyles/style5/A young man with a catcher's mitt waits with his arms outstretched.jpg,A young man with a catcher's mitt waits with his arms outstretched
../../datasets/OldStyles/style5/A person riding a surfboard in large waves.jpg,A person riding a surfboard in large waves
"../../datasets/OldStyles/style5/A bathroom with graffiti, a dirty toilet and a rock wall.jpg","A bathroom with graffiti, a dirty toilet and a rock wall"
../../datasets/OldStyles/style5/a train that is going down a train track in front of a statoin.jpg,a train that is going down a train track in front of a statoin
../../datasets/OldStyles/style5/two zebra grazing in the grass next to some rocks.jpg,two zebra grazing in the grass next to some rocks
../../datasets/OldStyles/style5/The computer desk has a printer next to the monitor.jpg,The computer desk has a printer next to the monitor
../../datasets/OldStyles/style5/A merry go round horse shown in a mirror.jpg,A merry go round horse shown in a mirror
../../datasets/OldStyles/style5/A train that has people standing by the railing on the front.jpg,A train that has people standing by the railing on the front
../../datasets/OldStyles/style5/The train has stopped on the railroad tracks.jpg,The train has stopped on the railroad tracks
../../datasets/OldStyles/style5/An orange train sitting in a train station.jpg,An orange train sitting in a train station
../../datasets/OldStyles/style5/Two sandwiches that are on a plate on a table.jpg,Two sandwiches that are on a plate on a table
../../datasets/OldStyles/style5/there is a cat that is standing on top of a car.jpg,there is a cat that is standing on top of a car
../../datasets/OldStyles/style5/a baseball player getting ready to hit the ball during a game.jpg,a baseball player getting ready to hit the ball during a game
../../datasets/OldStyles/style5/A street at night with people walking around and buildings lit up.jpg,A street at night with people walking around and buildings lit up
../../datasets/OldStyles/style5/there is a animal that is walking past a structure on a field.jpg,there is a animal that is walking past a structure on a field
../../datasets/OldStyles/style5/A sandwich sitting on a plat cut into two.jpg,A sandwich sitting on a plat cut into two
../../datasets/OldStyles/style5/A dog leaps to catch a Frisbee above a fallen man.jpg,A dog leaps to catch a Frisbee above a fallen man
"../../datasets/OldStyles/style5/A red, white and blue train in motion on tracks.jpg","A red, white and blue train in motion on tracks"
../../datasets/OldStyles/style5/Cars are moving down the street in the dark city.jpg,Cars are moving down the street in the dark city
../../datasets/OldStyles/style5/A man in a helmet taking a sharp turn on a motorcycle.jpg,A man in a helmet taking a sharp turn on a motorcycle
../../datasets/OldStyles/style5/a dog and a small sheep with a person holding the dog.jpg,a dog and a small sheep with a person holding the dog
../../datasets/OldStyles/style5/a brown and white kitchen with a black oven in it.jpg,a brown and white kitchen with a black oven in it
../../datasets/OldStyles/style5/A giraffe standing in a fenced in area with people watching.jpg,A giraffe standing in a fenced in area with people watching
../../datasets/OldStyles/style5/The street signs are clearly visible for all to see.jpg,The street signs are clearly visible for all to see
../../datasets/OldStyles/style5/An adult and young giraffe standing next to a building.jpg,An adult and young giraffe standing next to a building
../../datasets/OldStyles/style5/a man on a surf board does a trick in the air.jpg,a man on a surf board does a trick in the air
../../datasets/OldStyles/style5/A woman pulling a suitcase behind her on the sidewalk.jpg,A woman pulling a suitcase behind her on the sidewalk
../../datasets/OldStyles/style5/a cat with shiny yellow eyes standing up to look at itself in a mirror.jpg,a cat with shiny yellow eyes standing up to look at itself in a mirror
"../../datasets/OldStyles/style5/A backyard with a pool, soccer equipment and other toys in it.jpg","A backyard with a pool, soccer equipment and other toys in it"
../../datasets/OldStyles/style5/A desk with a computer and textbooks and other study material.jpg,A desk with a computer and textbooks and other study material
../../datasets/OldStyles/style5/A vase holding sunflowers on display against a white wall.jpg,A vase holding sunflowers on display against a white wall
../../datasets/OldStyles/style5/People putting candles on a cake that is sitting on a plate.jpg,People putting candles on a cake that is sitting on a plate
../../datasets/OldStyles/style5/A sail boat floating across a lake surrounded by forest.jpg,A sail boat floating across a lake surrounded by forest
../../datasets/OldStyles/style5/There is a boy spinning something above his head.jpg,There is a boy spinning something above his head
../../datasets/OldStyles/style5/a traffic officer controlling traffic on a busy road.jpg,a traffic officer controlling traffic on a busy road
../../datasets/OldStyles/style5/A group of adults eat together at a restaurant.jpg,A group of adults eat together at a restaurant
"../../datasets/OldStyles/style5/Two teddy bears, one has a hat and a scarf and one has pink on.jpg","Two teddy bears, one has a hat and a scarf and one has pink on"
../../datasets/OldStyles/style5/A giraffe noshing on a branch with leaves.jpg,A giraffe noshing on a branch with leaves
../../datasets/OldStyles/style5/A bathroom with many stalls that are vacant.jpg,A bathroom with many stalls that are vacant
../../datasets/OldStyles/style5/A guy at the top of the hill preparing to snowboard down the hill.jpg,A guy at the top of the hill preparing to snowboard down the hill
../../datasets/OldStyles/style5/A group of horses grazing in a grassy field.jpg,A group of horses grazing in a grassy field
../../datasets/OldStyles/style5/Two men stand holding glasses in front of a TV playing a football game.jpg,Two men stand holding glasses in front of a TV playing a football game
../../datasets/OldStyles/style5/Some sheep are walking in the high grass and posing for a picture.jpg,Some sheep are walking in the high grass and posing for a picture
../../datasets/OldStyles/style5/A man wears a suit and look uncomfortable.jpg,A man wears a suit and look uncomfortable
../../datasets/OldStyles/style5/Several stuffed animals sitting in wooden boxes outside.jpg,Several stuffed animals sitting in wooden boxes outside
../../datasets/OldStyles/style5/a couple of pizzas are sitting on a table.jpg,a couple of pizzas are sitting on a table
"../../datasets/OldStyles/style5/A person wearing a bike helmet, holding up two bunches of bananas.jpg","A person wearing a bike helmet, holding up two bunches of bananas"
../../datasets/OldStyles/style5/A photograph of an individual being taken in this picture.jpg,A photograph of an individual being taken in this picture
../../datasets/OldStyles/style5/Two children playing in a toy train next to a building.jpg,Two children playing in a toy train next to a building
"../../datasets/OldStyles/style5/a man is surfing while holding a girl, and a dog on its own board.jpg","a man is surfing while holding a girl, and a dog on its own board"
../../datasets/OldStyles/style5/A table with a stone tray and  a pizza with cheese.jpg,A table with a stone tray and  a pizza with cheese
../../datasets/OldStyles/style5/three zebras in the foreground and wildebeests look around.jpg,three zebras in the foreground and wildebeests look around
../../datasets/OldStyles/style5/A large airplane that is sitting out on the runway.jpg,A large airplane that is sitting out on the runway
../../datasets/OldStyles/style5/A collage with several artistic pictures on it.jpg,A collage with several artistic pictures on it
../../datasets/OldStyles/style5/An ambulance responds to an emergency and blocks a fire hydrant.jpg,An ambulance responds to an emergency and blocks a fire hydrant
../../datasets/OldStyles/style5/A photo dark room with the red light on.jpg,A photo dark room with the red light on
../../datasets/OldStyles/style5/A woman that is in the water on a surfboard.jpg,A woman that is in the water on a surfboard
../../datasets/OldStyles/style5/A food dish is served in a bowl.jpg,A food dish is served in a bowl
../../datasets/OldStyles/style5/There are a few boats in the water today.jpg,There are a few boats in the water today
../../datasets/OldStyles/style5/A city street filled with pedestrians and tall buildings on either side.jpg,A city street filled with pedestrians and tall buildings on either side
../../datasets/OldStyles/style5/a man riding a motorcycle with a number on the back of it.jpg,a man riding a motorcycle with a number on the back of it
../../datasets/OldStyles/style5/A kitchen with a congratulation message on a board on the wall.jpg,A kitchen with a congratulation message on a board on the wall
../../datasets/OldStyles/style5/a zebra and some oxen in a park setting.jpg,a zebra and some oxen in a park setting
../../datasets/OldStyles/style5/A toilet in a stone tiled bathroom with leopard print lid.jpg,A toilet in a stone tiled bathroom with leopard print lid
../../datasets/OldStyles/style5/A white floor urinal near a stainless steel trash can.jpg,A white floor urinal near a stainless steel trash can
../../datasets/OldStyles/style5/Young adults playing and watching others play video games.jpg,Young adults playing and watching others play video games
../../datasets/OldStyles/style5/Skateboarder riding on edge of pool near large structure.jpg,Skateboarder riding on edge of pool near large structure
../../datasets/OldStyles/style5/A young child is running in his soccer field.jpg,A young child is running in his soccer field
../../datasets/OldStyles/style5/A brown bear walking along a rock covered ground.jpg,A brown bear walking along a rock covered ground
../../datasets/OldStyles/style5/A pitcher in grey baseball uniform on a field.jpg,A pitcher in grey baseball uniform on a field
../../datasets/OldStyles/style5/An drilling rig out in an open field.jpg,An drilling rig out in an open field
../../datasets/OldStyles/style5/A green bird sitting on top of a broken tree branch.jpg,A green bird sitting on top of a broken tree branch
../../datasets/OldStyles/style5/A warning sign on the side of the road.jpg,A warning sign on the side of the road
../../datasets/OldStyles/style5/A person holding a cell phone next to a large hamster.jpg,A person holding a cell phone next to a large hamster
../../datasets/OldStyles/style5/A large stone building with a clock on the top.jpg,A large stone building with a clock on the top
../../datasets/OldStyles/style5/People are doing something at this time that is full.jpg,People are doing something at this time that is full
../../datasets/OldStyles/style5/in a baron field a heard of zebras move about 2 seem to be fighting.jpg,in a baron field a heard of zebras move about 2 seem to be fighting
../../datasets/OldStyles/style5/some boats in the water some buildings and hills.jpg,some boats in the water some buildings and hills
../../datasets/OldStyles/style5/A table with a plate of fruit and bowls of meats and cheeses.jpg,A table with a plate of fruit and bowls of meats and cheeses
../../datasets/OldStyles/style5/the kitchen is full of spices on the rack.jpg,the kitchen is full of spices on the rack
../../datasets/OldStyles/style5/Skiers skiing on a snow covered ski slope next to poles.jpg,Skiers skiing on a snow covered ski slope next to poles
../../datasets/OldStyles/style5/A man in  a plaid shirt smiling for the camera.jpg,A man in  a plaid shirt smiling for the camera
../../datasets/OldStyles/style5/Two grey elephants and one is walking up to a man.jpg,Two grey elephants and one is walking up to a man
../../datasets/OldStyles/style5/A traffic light is green on an urban street in the United States.jpg,A traffic light is green on an urban street in the United States
../../datasets/OldStyles/style5/A bunch of guys with suits and hats on.jpg,A bunch of guys with suits and hats on
../../datasets/OldStyles/style5/Three brown horses grazing on grass in a park.jpg,Three brown horses grazing on grass in a park
../../datasets/OldStyles/style5/Several sheep in an fence enclosed area with grass and mud.jpg,Several sheep in an fence enclosed area with grass and mud
../../datasets/OldStyles/style5/a man in a uniform is cutting a cake.jpg,a man in a uniform is cutting a cake
../../datasets/OldStyles/style5/Someone is holding a spatula over a pepperoni pizza.jpg,Someone is holding a spatula over a pepperoni pizza
../../datasets/OldStyles/style5/A brick fireplace in a Colonial style home.jpg,A brick fireplace in a Colonial style home
../../datasets/OldStyles/style5/Two people are paddle surfing in the ocean waters.jpg,Two people are paddle surfing in the ocean waters
../../datasets/OldStyles/style5/a close up of a dog laying on its back.jpg,a close up of a dog laying on its back
../../datasets/OldStyles/style5/A bunch of octopus kites flying in the air and a crowd of people standing around watching from a white tent and a yellow one.jpg,A bunch of octopus kites flying in the air and a crowd of people standing around watching from a white tent and a yellow one
../../datasets/OldStyles/style5/Double decker buses traveling down a busy city street.jpg,Double decker buses traveling down a busy city street
../../datasets/OldStyles/style5/Four clocks hanging above a large open doorway.jpg,Four clocks hanging above a large open doorway
../../datasets/OldStyles/style5/Two bikers sit in field next to windows and talk.jpg,Two bikers sit in field next to windows and talk
../../datasets/OldStyles/style5/a plate with a hamburger and some brussel sprouts on it.jpg,a plate with a hamburger and some brussel sprouts on it
../../datasets/OldStyles/style5/a classic photograph of a man just after he has taken a swing at a pitch.jpg,a classic photograph of a man just after he has taken a swing at a pitch
../../datasets/OldStyles/style5/Two people sitting on horses next to each other.jpg,Two people sitting on horses next to each other
../../datasets/OldStyles/style5/A bowl with food that is sitting on a table.jpg,A bowl with food that is sitting on a table
../../datasets/OldStyles/style5/A man riding an elephant through the water.jpg,A man riding an elephant through the water
../../datasets/OldStyles/style5/People walking by a train at a train station.jpg,People walking by a train at a train station
../../datasets/OldStyles/style5/an image of a dog wearing a scarf on his neck.jpg,an image of a dog wearing a scarf on his neck
../../datasets/OldStyles/style5/A person on a dock near a boat in the water.jpg,A person on a dock near a boat in the water
../../datasets/OldStyles/style5/A bunch of different types of tools in a play kitchen.jpg,A bunch of different types of tools in a play kitchen
../../datasets/OldStyles/style5/a red and yellow fire hydrant snow trees and buildings.jpg,a red and yellow fire hydrant snow trees and buildings
../../datasets/OldStyles/style5/Smiling man holding a piece of paper with an illustration of a necktie.jpg,Smiling man holding a piece of paper with an illustration of a necktie
../../datasets/OldStyles/style5/Two brown bears meet while swimming in muddy water.jpg,Two brown bears meet while swimming in muddy water
../../datasets/OldStyles/style5/an image of a woman decorating a cake.jpg,an image of a woman decorating a cake
../../datasets/OldStyles/style5/A man cutting a cake on a table.jpg,A man cutting a cake on a table
../../datasets/OldStyles/style5/A photo looking down an alley at a clock tower.jpg,A photo looking down an alley at a clock tower
../../datasets/OldStyles/style5/A pastry made to look like a stick figure.jpg,A pastry made to look like a stick figure
../../datasets/OldStyles/style5/a train crossing safety guard is sitting erect.jpg,a train crossing safety guard is sitting erect
../../datasets/OldStyles/style5/A tennis player swings the racket back preparing to hit the ball.jpg,A tennis player swings the racket back preparing to hit the ball
../../datasets/OldStyles/style5/a group of people in a basement with wine glasses.jpg,a group of people in a basement with wine glasses
../../datasets/OldStyles/style5/A tong girl at a restaurant with broccoli on her plate.jpg,A tong girl at a restaurant with broccoli on her plate
../../datasets/OldStyles/style5/A man poses leaning against a refrigerator with an empty box in front of him.jpg,A man poses leaning against a refrigerator with an empty box in front of him
../../datasets/OldStyles/style5/A couple of ladies are playing the Nintendo Wii.jpg,A couple of ladies are playing the Nintendo Wii
../../datasets/OldStyles/style5/A bathroom mirror shows a person taking a picture of a large bathroom.jpg,A bathroom mirror shows a person taking a picture of a large bathroom
../../datasets/OldStyles/style5/A tennis player draws his arm back to hit the ball.jpg,A tennis player draws his arm back to hit the ball
../../datasets/OldStyles/style5/A bag of coffee sits on a table next to an open lap top.jpg,A bag of coffee sits on a table next to an open lap top
../../datasets/OldStyles/style5/A woman holds up a can of drink in front of pizzas.jpg,A woman holds up a can of drink in front of pizzas
../../datasets/OldStyles/style5/A cooked pizza that has been placed on a table.jpg,A cooked pizza that has been placed on a table
../../datasets/OldStyles/style5/A tall clock sitting next to two tall poles.jpg,A tall clock sitting next to two tall poles
../../datasets/OldStyles/style5/A man in an office holding a box of giant doughnuts.jpg,A man in an office holding a box of giant doughnuts
../../datasets/OldStyles/style5/A view of a woman through a wine glass.jpg,A view of a woman through a wine glass
../../datasets/OldStyles/style5/There is a laptop that has two mouses.jpg,There is a laptop that has two mouses
../../datasets/OldStyles/style5/The small bathroom has blue tile on the floor.jpg,The small bathroom has blue tile on the floor
../../datasets/OldStyles/style5/A man in a chef hat cuts up an apple at an outdoor camping kitchen.jpg,A man in a chef hat cuts up an apple at an outdoor camping kitchen
../../datasets/OldStyles/style5/A man holding a laptop facing away from himself.jpg,A man holding a laptop facing away from himself
../../datasets/OldStyles/style5/A model set of cars and other vehicles with a garage.jpg,A model set of cars and other vehicles with a garage
../../datasets/OldStyles/style5/Motor vehicle traffic on a paved city road.jpg,Motor vehicle traffic on a paved city road
../../datasets/OldStyles/style5/A brown teddy bear sitting next to a white tray on a table.jpg,A brown teddy bear sitting next to a white tray on a table
"../../datasets/OldStyles/style5/A cat starring at you, and a HD TV in the background.jpg","A cat starring at you, and a HD TV in the background"
../../datasets/OldStyles/style5/Lone male surfer riding a wave of jade green water.jpg,Lone male surfer riding a wave of jade green water
../../datasets/OldStyles/style5/Someone feeding cake to a little girl in a bathing suit.jpg,Someone feeding cake to a little girl in a bathing suit
../../datasets/OldStyles/style5/A young boy smiles as the giraffe looks to eat from his hand.jpg,A young boy smiles as the giraffe looks to eat from his hand
../../datasets/OldStyles/style5/A guy on a very cool looking scooter by the road.jpg,A guy on a very cool looking scooter by the road
../../datasets/OldStyles/style5/A woman standing on a tennis court holding a tennis racquet.jpg,A woman standing on a tennis court holding a tennis racquet
../../datasets/OldStyles/style5/A black motorcycle parked in the sand with the helmet and a bag sitting on the seat.jpg,A black motorcycle parked in the sand with the helmet and a bag sitting on the seat
../../datasets/OldStyles/style5/Green plant sitting in front of a bowl of oranges.jpg,Green plant sitting in front of a bowl of oranges
../../datasets/OldStyles/style5/A rather chunky cat sitting under a plaid umbrella.jpg,A rather chunky cat sitting under a plaid umbrella
../../datasets/OldStyles/style5/A large brown truck on display at a car show.jpg,A large brown truck on display at a car show
../../datasets/OldStyles/style5/A city bus is stopped on the street by the stop.jpg,A city bus is stopped on the street by the stop
../../datasets/OldStyles/style5/a close up of a street sign with a sky background.jpg,a close up of a street sign with a sky background
../../datasets/OldStyles/style5/Packs of tuna are on the counter in front of a microwave.jpg,Packs of tuna are on the counter in front of a microwave
"../../datasets/OldStyles/style5/A kitchen area with table, stove and a refrigerator.jpg","A kitchen area with table, stove and a refrigerator"
../../datasets/OldStyles/style5/A group of elephants walking towards a brown cow.jpg,A group of elephants walking towards a brown cow
../../datasets/OldStyles/style5/A bush is growing next to an old fire hydrant.jpg,A bush is growing next to an old fire hydrant
../../datasets/OldStyles/style5/A group of people walking an adorable dog across a walkway.jpg,A group of people walking an adorable dog across a walkway
../../datasets/OldStyles/style5/tow military men in uniforms shaking hands in hallway.jpg,tow military men in uniforms shaking hands in hallway
../../datasets/OldStyles/style5/She sure is rocking it out with her hairdryer.jpg,She sure is rocking it out with her hairdryer
../../datasets/OldStyles/style5/The tower of the building has a clock displayed on the front of it.jpg,The tower of the building has a clock displayed on the front of it
../../datasets/OldStyles/style5/an image of a woman on skiis posing.jpg,an image of a woman on skiis posing
../../datasets/OldStyles/style5/A blue and silver train traveling on the tracks.jpg,A blue and silver train traveling on the tracks
../../datasets/OldStyles/style5/A wedding cake with a bride and groom on top.jpg,A wedding cake with a bride and groom on top
"../../datasets/OldStyles/style5/A view of a toilet, with the room barren.jpg","A view of a toilet, with the room barren"
../../datasets/OldStyles/style5/A large passenger jet flying through a cloudy blue sky.jpg,A large passenger jet flying through a cloudy blue sky
../../datasets/OldStyles/style5/Some sheep are eating hay in a snowy field.jpg,Some sheep are eating hay in a snowy field
../../datasets/OldStyles/style5/A guy rides along some barriers with his skateboard.jpg,A guy rides along some barriers with his skateboard
../../datasets/OldStyles/style5/An elephant hoof gets marked as it extends from its enclosure.jpg,An elephant hoof gets marked as it extends from its enclosure
../../datasets/OldStyles/style5/An adult giraffe basking in the shade at a zoo.jpg,An adult giraffe basking in the shade at a zoo
../../datasets/OldStyles/style5/Lots of kites being flown in a parking lot.jpg,Lots of kites being flown in a parking lot
../../datasets/OldStyles/style5/A man looking a supreme pizza in a kitchen.jpg,A man looking a supreme pizza in a kitchen
../../datasets/OldStyles/style5/A red bus passes by an old church and statue.jpg,A red bus passes by an old church and statue
../../datasets/OldStyles/style5/A set of blue and white stairs at the end of a living room.jpg,A set of blue and white stairs at the end of a living room
../../datasets/OldStyles/style5/An extreme close up of the green portion of a stop light.jpg,An extreme close up of the green portion of a stop light
../../datasets/OldStyles/style5/A man looks a donut hanging from a string.jpg,A man looks a donut hanging from a string
